# Region type : patch leftWall
# Faces       : 1296
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
82.8          	-3.328544e+02	(2.007720e-04 -3.538476e-03 2.755251e-01)	3.730000e+02
83.2          	-3.329415e+02	(3.222720e-04 -3.518842e-03 2.761982e-01)	3.730000e+02
83.6          	-3.329549e+02	(-1.133919e-06 -3.535766e-03 2.761814e-01)	3.730000e+02
84            	-3.328946e+02	(1.373820e-04 -3.518898e-03 2.758703e-01)	3.730000e+02
84.4          	-3.330047e+02	(-1.800045e-04 -3.529606e-03 2.764823e-01)	3.730000e+02
84.8          	-3.328881e+02	(-2.147620e-05 -3.541297e-03 2.758654e-01)	3.730000e+02
85.2          	-3.329087e+02	(-6.612231e-05 -3.532555e-03 2.758436e-01)	3.730000e+02
85.6          	-3.328619e+02	(5.264968e-05 -3.553801e-03 2.755955e-01)	3.730000e+02
86            	-3.328902e+02	(-2.921840e-05 -3.539985e-03 2.759280e-01)	3.730000e+02
86.4          	-3.328670e+02	(-7.795190e-06 -3.549440e-03 2.755223e-01)	3.730000e+02
86.8          	-3.327855e+02	(-1.807189e-04 -3.539820e-03 2.752722e-01)	3.730000e+02
87.2          	-3.328997e+02	(1.651116e-04 -3.526119e-03 2.760412e-01)	3.730000e+02
87.6          	-3.329674e+02	(-2.121217e-05 -3.530102e-03 2.762804e-01)	3.730000e+02
88            	-3.328974e+02	(1.444134e-04 -3.528109e-03 2.755613e-01)	3.730000e+02
88.4          	-3.328655e+02	(1.873681e-04 -3.540787e-03 2.757113e-01)	3.730000e+02
88.8          	-3.329498e+02	(-2.065784e-04 -3.534430e-03 2.760043e-01)	3.730000e+02
89.2          	-3.329916e+02	(-1.599188e-04 -3.534485e-03 2.763137e-01)	3.730000e+02
89.6          	-3.329185e+02	(-2.924065e-05 -3.546962e-03 2.760035e-01)	3.730000e+02
90            	-3.329596e+02	(-1.195305e-05 -3.526347e-03 2.761377e-01)	3.730000e+02
90.4          	-3.329810e+02	(5.860146e-05 -3.534753e-03 2.761834e-01)	3.730000e+02
90.8          	-3.329591e+02	(-1.900851e-05 -3.538818e-03 2.761335e-01)	3.730000e+02
91.2          	-3.329277e+02	(-9.148337e-05 -3.532098e-03 2.759233e-01)	3.730000e+02
91.6          	-3.329000e+02	(-2.318304e-05 -3.531572e-03 2.758075e-01)	3.730000e+02
92            	-3.329287e+02	(1.333544e-04 -3.537860e-03 2.759873e-01)	3.730000e+02
92.4          	-3.329720e+02	(-2.173721e-04 -3.542312e-03 2.760587e-01)	3.730000e+02
92.8          	-3.328800e+02	(-5.574938e-05 -3.537722e-03 2.756382e-01)	3.730000e+02
93.2          	-3.328981e+02	(1.332899e-04 -3.543855e-03 2.757052e-01)	3.730000e+02
93.6          	-3.328916e+02	(1.882696e-05 -3.531909e-03 2.758080e-01)	3.730000e+02
94            	-3.328270e+02	(-8.842689e-05 -3.534366e-03 2.756371e-01)	3.730000e+02
94.4          	-3.328917e+02	(-1.122276e-04 -3.517544e-03 2.758896e-01)	3.730000e+02
94.8          	-3.329279e+02	(-1.394150e-04 -3.528264e-03 2.758830e-01)	3.730000e+02
95.2          	-3.329143e+02	(-7.073543e-05 -3.549332e-03 2.758935e-01)	3.730000e+02
95.6          	-3.328900e+02	(5.928196e-05 -3.540914e-03 2.756731e-01)	3.730000e+02
96            	-3.328791e+02	(-1.205520e-04 -3.541636e-03 2.756682e-01)	3.730000e+02
96.4          	-3.329031e+02	(-4.135280e-06 -3.537535e-03 2.759125e-01)	3.730000e+02
96.8          	-3.329354e+02	(-1.578127e-04 -3.524255e-03 2.759455e-01)	3.730000e+02
97.2          	-3.328770e+02	(1.886035e-05 -3.535252e-03 2.757370e-01)	3.730000e+02
97.6          	-3.329674e+02	(1.845220e-05 -3.540568e-03 2.760142e-01)	3.730000e+02
98            	-3.328955e+02	(1.629684e-04 -3.547009e-03 2.757893e-01)	3.730000e+02
98.4          	-3.329068e+02	(-8.370654e-05 -3.535854e-03 2.757230e-01)	3.730000e+02
98.8          	-3.329239e+02	(-8.579110e-05 -3.540578e-03 2.759145e-01)	3.730000e+02
