# Region type : patch leftWall
# Faces       : 1296
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
0.4           	-4.972078e+02	(2.334008e-04 -3.513071e-03 3.280028e-01)	3.730000e+02
0.8           	-3.918225e+02	(2.751984e-04 -3.513594e-03 2.893994e-01)	3.730000e+02
1.2           	-3.539927e+02	(-1.731004e-04 -3.528271e-03 2.802846e-01)	3.730000e+02
1.6           	-3.383747e+02	(1.622557e-05 -3.521936e-03 2.766121e-01)	3.730000e+02
2             	-3.337526e+02	(-2.436849e-04 -3.535680e-03 2.764133e-01)	3.730000e+02
2.4           	-3.329429e+02	(5.303572e-05 -3.536797e-03 2.761220e-01)	3.730000e+02
2.8           	-3.328452e+02	(1.445484e-05 -3.534541e-03 2.755132e-01)	3.730000e+02
3.2           	-3.328858e+02	(1.139193e-04 -3.542167e-03 2.757384e-01)	3.730000e+02
3.6           	-3.329045e+02	(7.007972e-05 -3.540506e-03 2.759167e-01)	3.730000e+02
4             	-3.329176e+02	(8.074298e-05 -3.547406e-03 2.756836e-01)	3.730000e+02
4.4           	-3.328669e+02	(-6.273517e-05 -3.536906e-03 2.755229e-01)	3.730000e+02
4.8           	-3.329138e+02	(2.900720e-05 -3.525303e-03 2.759307e-01)	3.730000e+02
5.2           	-3.330107e+02	(-7.730487e-05 -3.528395e-03 2.762834e-01)	3.730000e+02
5.6           	-3.329303e+02	(6.468324e-05 -3.532292e-03 2.756119e-01)	3.730000e+02
6             	-3.328931e+02	(6.532335e-05 -3.528293e-03 2.758305e-01)	3.730000e+02
6.4           	-3.329447e+02	(-6.859406e-05 -3.537570e-03 2.758563e-01)	3.730000e+02
6.8           	-3.329283e+02	(4.410147e-06 -3.534716e-03 2.760551e-01)	3.730000e+02
7.2           	-3.329195e+02	(-8.892093e-05 -3.537933e-03 2.760763e-01)	3.730000e+02
7.6           	-3.328907e+02	(-5.561486e-05 -3.528790e-03 2.758762e-01)	3.730000e+02
8             	-3.329199e+02	(-8.038014e-05 -3.534715e-03 2.760201e-01)	3.730000e+02
8.4           	-3.329178e+02	(1.038332e-05 -3.537126e-03 2.762298e-01)	3.730000e+02
8.8           	-3.328939e+02	(-1.121231e-04 -3.523841e-03 2.758014e-01)	3.730000e+02
9.2           	-3.328639e+02	(-3.871889e-05 -3.525533e-03 2.757651e-01)	3.730000e+02
9.6           	-3.329082e+02	(1.088123e-04 -3.536954e-03 2.759138e-01)	3.730000e+02
10            	-3.329477e+02	(-2.302419e-04 -3.532031e-03 2.761039e-01)	3.730000e+02
10.4          	-3.328911e+02	(-2.884646e-05 -3.536780e-03 2.757274e-01)	3.730000e+02
10.8          	-3.328907e+02	(1.438007e-04 -3.551036e-03 2.758180e-01)	3.730000e+02
11.2          	-3.328788e+02	(7.986489e-05 -3.530648e-03 2.757047e-01)	3.730000e+02
