# Region type : patch leftWall
# Faces       : 256
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
100.4         	-2.706187e+02	(-3.804616e-04 1.466066e-04 -2.517748e-01)	3.730000e+02
100.8         	-2.887144e+02	(-2.069935e-04 -3.457802e-05 -2.575404e-01)	3.730000e+02
101.2         	-2.931841e+02	(-1.569385e-04 4.749281e-05 -2.601275e-01)	3.730000e+02
101.6         	-2.929933e+02	(-1.503521e-04 1.163433e-04 -2.614436e-01)	3.730000e+02
102           	-2.913180e+02	(-1.705523e-04 1.685274e-04 -2.607914e-01)	3.730000e+02
102.4         	-2.903606e+02	(-1.527768e-04 1.535890e-04 -2.594171e-01)	3.730000e+02
102.8         	-2.905596e+02	(-1.344100e-04 1.985676e-04 -2.598385e-01)	3.730000e+02
103.2         	-2.907956e+02	(-1.269981e-04 1.460892e-04 -2.598891e-01)	3.730000e+02
103.6         	-2.906355e+02	(-1.242871e-04 1.441375e-04 -2.601214e-01)	3.730000e+02
104           	-2.905618e+02	(-1.194883e-04 1.174585e-04 -2.603243e-01)	3.730000e+02
104.4         	-2.903703e+02	(-1.121599e-04 8.716505e-05 -2.605066e-01)	3.730000e+02
104.8         	-2.901621e+02	(-1.030708e-04 9.393834e-05 -2.607166e-01)	3.730000e+02
105.2         	-2.901039e+02	(-9.722223e-05 1.481395e-04 -2.611255e-01)	3.730000e+02
105.6         	-2.899302e+02	(-9.335642e-05 2.096860e-04 -2.614428e-01)	3.730000e+02
106           	-2.897103e+02	(-8.205676e-05 2.553471e-04 -2.616151e-01)	3.730000e+02
106.4         	-2.897421e+02	(-7.498879e-05 1.749867e-04 -2.619795e-01)	3.730000e+02
106.8         	-2.895651e+02	(-7.018279e-05 1.034186e-04 -2.620934e-01)	3.730000e+02
107.2         	-2.893834e+02	(-6.499493e-05 1.241021e-04 -2.620725e-01)	3.730000e+02
107.6         	-2.893075e+02	(-5.976951e-05 1.336249e-04 -2.621380e-01)	3.730000e+02
108           	-2.891548e+02	(-5.498336e-05 1.107629e-04 -2.621103e-01)	3.730000e+02
108.4         	-2.889516e+02	(-5.063213e-05 1.209153e-04 -2.622680e-01)	3.730000e+02
108.8         	-2.887069e+02	(-4.649720e-05 2.978046e-04 -2.621849e-01)	3.730000e+02
109.2         	-2.885971e+02	(-4.341196e-05 1.072696e-04 -2.621007e-01)	3.730000e+02
109.6         	-2.885318e+02	(-4.030435e-05 1.154475e-04 -2.620771e-01)	3.730000e+02
110           	-2.883460e+02	(-3.743280e-05 1.696564e-04 -2.619750e-01)	3.730000e+02
110.4         	-2.882416e+02	(-3.449929e-05 1.006092e-04 -2.621431e-01)	3.730000e+02
110.8         	-2.880721e+02	(-3.184145e-05 2.825870e-04 -2.622078e-01)	3.730000e+02
111.2         	-2.879179e+02	(-2.994726e-05 9.817355e-05 -2.620614e-01)	3.730000e+02
111.6         	-2.878652e+02	(-2.784507e-05 2.545594e-04 -2.621169e-01)	3.730000e+02
112           	-2.876755e+02	(-2.593960e-05 1.892243e-04 -2.620902e-01)	3.730000e+02
112.4         	-2.874745e+02	(-2.416323e-05 1.329860e-04 -2.621757e-01)	3.730000e+02
112.8         	-2.873373e+02	(-2.253241e-05 7.253108e-05 -2.621300e-01)	3.730000e+02
113.2         	-2.872848e+02	(-2.126448e-05 1.168530e-04 -2.621230e-01)	3.730000e+02
113.6         	-2.871641e+02	(-1.988961e-05 2.645997e-04 -2.621067e-01)	3.730000e+02
114           	-2.869439e+02	(-1.867592e-05 1.024793e-04 -2.620507e-01)	3.730000e+02
114.4         	-2.868104e+02	(-1.752088e-05 7.448117e-05 -2.621245e-01)	3.730000e+02
114.8         	-2.867403e+02	(-1.656555e-05 1.530371e-04 -2.620569e-01)	3.730000e+02
115.2         	-2.866265e+02	(-1.567870e-05 1.093298e-04 -2.620277e-01)	3.730000e+02
115.6         	-2.865039e+02	(-1.468732e-05 1.522255e-04 -2.620681e-01)	3.730000e+02
116           	-2.863113e+02	(-1.389832e-05 1.289760e-04 -2.620098e-01)	3.730000e+02
116.4         	-2.862110e+02	(-1.303013e-05 3.028900e-04 -2.620220e-01)	3.730000e+02
116.8         	-2.861476e+02	(-1.252762e-05 1.711894e-04 -2.619112e-01)	3.730000e+02
117.2         	-2.860138e+02	(-1.190507e-05 1.678860e-04 -2.618835e-01)	3.730000e+02
117.6         	-2.858682e+02	(-1.128029e-05 1.862129e-04 -2.619377e-01)	3.730000e+02
118           	-2.857288e+02	(-1.067467e-05 1.272140e-04 -2.620834e-01)	3.730000e+02
118.4         	-2.856418e+02	(-1.021879e-05 1.177908e-04 -2.620003e-01)	3.730000e+02
118.8         	-2.855991e+02	(-9.878131e-06 1.321869e-04 -2.619752e-01)	3.730000e+02
119.2         	-2.854565e+02	(-9.425970e-06 1.272598e-04 -2.619979e-01)	3.730000e+02
119.6         	-2.852828e+02	(-8.970380e-06 1.302315e-04 -2.620503e-01)	3.730000e+02
120           	-2.851500e+02	(-8.578223e-06 1.340439e-04 -2.620799e-01)	3.730000e+02
120.4         	-2.850379e+02	(-8.335961e-06 2.622180e-04 -2.618637e-01)	3.730000e+02
