# Region type : patch leftWall
# Faces       : 16
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
0.4           	-4.298617e+02	(3.120640e-06 -5.988942e-03 -1.299010e-01)	3.730000e+02
0.8           	-3.940032e+02	(2.447558e-06 -1.609436e-02 -3.670276e-01)	3.730000e+02
1.2           	-3.468835e+02	(4.296942e-06 1.114044e-03 -3.082964e-01)	3.730000e+02
1.6           	-3.190671e+02	(2.608983e-06 -2.251295e-03 -2.963442e-01)	3.730000e+02
2             	-2.994081e+02	(-5.503671e-05 1.774747e-03 -2.733125e-01)	3.730000e+02
2.4           	-2.871766e+02	(-6.250054e-05 2.623283e-03 -2.708006e-01)	3.730000e+02
2.8           	-2.808788e+02	(-4.569905e-05 -2.293146e-03 -2.627156e-01)	3.730000e+02
3.2           	-2.753644e+02	(-6.632101e-06 4.442900e-03 -2.691204e-01)	3.730000e+02
3.6           	-2.729934e+02	(-1.776756e-05 -3.759049e-03 -2.717854e-01)	3.730000e+02
4             	-2.705988e+02	(-2.158237e-05 -2.015241e-03 -2.483475e-01)	3.730000e+02
4.4           	-2.724251e+02	(-1.682575e-04 3.391154e-03 -2.512750e-01)	3.730000e+02
4.8           	-2.749635e+02	(6.658832e-04 6.063876e-03 -2.779507e-01)	3.730000e+02
5.2           	-2.718907e+02	(6.387187e-04 -3.116153e-03 -2.686727e-01)	3.730000e+02
5.6           	-2.676752e+02	(-2.264992e-04 1.484781e-03 -2.677102e-01)	3.730000e+02
6             	-2.676018e+02	(-3.231796e-04 -6.292084e-03 -2.755664e-01)	3.730000e+02
6.4           	-2.685231e+02	(4.816335e-04 -2.193474e-03 -2.699173e-01)	3.730000e+02
6.8           	-2.708151e+02	(3.139015e-04 2.906320e-03 -2.746583e-01)	3.730000e+02
7.2           	-2.686172e+02	(4.604917e-04 -1.888811e-03 -2.702604e-01)	3.730000e+02
7.6           	-2.674918e+02	(1.374281e-04 -1.197949e-03 -2.708164e-01)	3.730000e+02
8             	-2.666117e+02	(1.854302e-05 3.570713e-03 -2.784646e-01)	3.730000e+02
8.4           	-2.648919e+02	(2.414077e-04 -2.583809e-03 -2.721250e-01)	3.730000e+02
8.8           	-2.622599e+02	(2.078013e-04 6.335810e-04 -2.837186e-01)	3.730000e+02
9.2           	-2.633417e+02	(4.578095e-04 -2.488447e-03 -2.771261e-01)	3.730000e+02
9.6           	-2.656349e+02	(2.918377e-04 4.228712e-03 -2.775411e-01)	3.730000e+02
10            	-2.686520e+02	(-4.226798e-05 -2.103686e-03 -2.685201e-01)	3.730000e+02
10.4          	-2.699390e+02	(-2.391773e-05 1.129207e-03 -2.689258e-01)	3.730000e+02
10.8          	-2.701290e+02	(-2.894773e-04 -5.040380e-03 -2.745381e-01)	3.730000e+02
11.2          	-2.689056e+02	(-4.305225e-04 -5.783676e-03 -2.469775e-01)	3.730000e+02
11.6          	-2.660103e+02	(-3.942153e-04 -2.082090e-03 -2.733709e-01)	3.730000e+02
12            	-2.669112e+02	(-5.430472e-04 -1.911416e-03 -2.654715e-01)	3.730000e+02
12.4          	-2.673958e+02	(-4.261268e-04 4.944478e-03 -2.510905e-01)	3.730000e+02
12.8          	-2.669217e+02	(-9.730301e-04 -9.763819e-03 -2.537427e-01)	3.730000e+02
13.2          	-2.674401e+02	(-5.545793e-04 1.786804e-03 -2.597857e-01)	3.730000e+02
13.6          	-2.695167e+02	(-4.803809e-04 -4.372383e-03 -2.564535e-01)	3.730000e+02
14            	-2.719223e+02	(-1.323862e-04 1.977122e-03 -2.644501e-01)	3.730000e+02
14.4          	-2.736689e+02	(3.116750e-04 2.018787e-03 -2.732933e-01)	3.730000e+02
14.8          	-2.759124e+02	(-1.997356e-05 1.526737e-03 -2.705529e-01)	3.730000e+02
15.2          	-2.748297e+02	(-2.743578e-04 -3.322180e-03 -2.750224e-01)	3.730000e+02
15.6          	-2.723604e+02	(1.311412e-04 -2.999160e-03 -2.644700e-01)	3.730000e+02
16            	-2.671131e+02	(-2.972034e-04 -9.417920e-03 -2.769390e-01)	3.730000e+02
16.4          	-2.656519e+02	(-3.782955e-04 -8.153526e-03 -2.436817e-01)	3.730000e+02
16.8          	-2.665184e+02	(-3.809203e-04 -1.459714e-03 -2.680489e-01)	3.730000e+02
17.2          	-2.653218e+02	(2.528664e-04 -4.710788e-03 -2.682004e-01)	3.730000e+02
17.6          	-2.666626e+02	(4.279761e-04 -3.629362e-03 -2.640857e-01)	3.730000e+02
18            	-2.637158e+02	(3.175297e-04 -1.736046e-03 -2.692665e-01)	3.730000e+02
18.4          	-2.656558e+02	(-5.930783e-04 3.719049e-03 -2.735419e-01)	3.730000e+02
18.8          	-2.646828e+02	(-2.336806e-05 -1.186036e-03 -2.709824e-01)	3.730000e+02
19.2          	-2.687285e+02	(-8.126122e-04 -3.165906e-04 -2.681396e-01)	3.730000e+02
19.6          	-2.690810e+02	(-2.015599e-03 8.489800e-04 -2.676384e-01)	3.730000e+02
20            	-2.685166e+02	(-1.989900e-03 3.137318e-03 -2.699648e-01)	3.730000e+02
20.4          	-2.691240e+02	(-1.778055e-03 -2.312239e-03 -2.659765e-01)	3.730000e+02
20.8          	-2.749561e+02	(1.375284e-03 2.090511e-03 -2.728387e-01)	3.730000e+02
21.2          	-2.738580e+02	(2.054100e-03 1.202242e-02 -2.820586e-01)	3.730000e+02
21.6          	-2.681862e+02	(2.747870e-03 -2.214663e-03 -2.711344e-01)	3.730000e+02
22            	-2.686586e+02	(2.105937e-03 2.429415e-03 -2.780585e-01)	3.730000e+02
22.4          	-2.681641e+02	(1.266729e-03 1.721501e-03 -2.656922e-01)	3.730000e+02
22.8          	-2.713603e+02	(-1.864977e-04 6.402791e-03 -2.970310e-01)	3.730000e+02
23.2          	-2.710690e+02	(-2.551566e-04 2.573149e-03 -2.626236e-01)	3.730000e+02
23.6          	-2.723190e+02	(-9.520040e-04 -1.236864e-03 -2.687098e-01)	3.730000e+02
24            	-2.707461e+02	(-1.401945e-05 -1.423699e-03 -2.702827e-01)	3.730000e+02
24.4          	-2.701720e+02	(-3.794184e-04 -1.292515e-03 -2.622464e-01)	3.730000e+02
24.8          	-2.703193e+02	(-1.075406e-04 -2.318509e-03 -2.731377e-01)	3.730000e+02
25.2          	-2.685277e+02	(-1.057460e-03 -1.593756e-03 -2.634844e-01)	3.730000e+02
25.6          	-2.671878e+02	(-1.518592e-03 5.282560e-03 -2.588819e-01)	3.730000e+02
26            	-2.687688e+02	(-4.378411e-04 3.115610e-03 -2.652040e-01)	3.730000e+02
26.4          	-2.703907e+02	(1.307000e-03 2.907796e-03 -2.610847e-01)	3.730000e+02
26.8          	-2.722211e+02	(2.655020e-03 1.935045e-03 -2.709728e-01)	3.730000e+02
27.2          	-2.744449e+02	(3.434689e-03 -2.430900e-03 -2.782867e-01)	3.730000e+02
27.6          	-2.756220e+02	(1.779099e-03 2.721597e-03 -2.692120e-01)	3.730000e+02
28            	-2.740703e+02	(-5.091584e-05 3.160557e-03 -2.614815e-01)	3.730000e+02
28.4          	-2.753858e+02	(-4.482767e-03 -3.159227e-04 -2.739029e-01)	3.730000e+02
28.8          	-2.783892e+02	(-7.526593e-03 -8.136709e-04 -2.778171e-01)	3.730000e+02
29.2          	-2.763463e+02	(-7.210015e-03 -9.994905e-04 -2.802739e-01)	3.730000e+02
29.6          	-2.741196e+02	(-5.572445e-03 -1.287699e-03 -2.727753e-01)	3.730000e+02
