# Region type : patch rightWall
# Faces       : 16
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
0.4           	-4.349137e+02	(2.436311e-07 -2.662638e-05 -1.436187e-01)	3.130000e+02
0.8           	-3.373714e+02	(-2.038606e-07 1.169277e-05 -4.185003e-01)	3.130000e+02
1.2           	-3.045707e+02	(-1.613519e-06 -8.090442e-06 -3.736330e-01)	3.130000e+02
1.6           	-2.828313e+02	(-2.084577e-06 -2.852771e-05 -3.556265e-01)	3.130000e+02
2             	-2.622728e+02	(-5.409130e-05 -4.111030e-05 -3.304970e-01)	3.130000e+02
2.4           	-2.499642e+02	(4.885426e-05 -5.142220e-05 -3.281355e-01)	3.130000e+02
2.8           	-2.419065e+02	(6.833166e-05 9.379922e-06 -3.199931e-01)	3.130000e+02
3.2           	-2.360897e+02	(1.885829e-04 -6.579884e-05 -3.196171e-01)	3.130000e+02
3.6           	-2.302782e+02	(1.877905e-04 -4.327582e-05 -3.146760e-01)	3.130000e+02
4             	-2.255887e+02	(6.919735e-05 1.706860e-05 -2.888757e-01)	3.130000e+02
4.4           	-2.227739e+02	(6.124110e-05 -4.071938e-05 -2.903289e-01)	3.130000e+02
4.8           	-2.224930e+02	(4.098372e-04 -8.550010e-05 -3.146530e-01)	3.130000e+02
5.2           	-2.229901e+02	(1.132230e-04 1.539178e-05 -3.153262e-01)	3.130000e+02
5.6           	-2.233660e+02	(-1.000035e-03 -4.947848e-05 -3.155227e-01)	3.130000e+02
6             	-2.232939e+02	(-2.075401e-03 -1.416176e-05 -3.243929e-01)	3.130000e+02
6.4           	-2.206261e+02	(-6.397639e-04 1.916979e-06 -3.070471e-01)	3.130000e+02
6.8           	-2.199162e+02	(-5.201153e-04 -6.575113e-05 -3.110546e-01)	3.130000e+02
7.2           	-2.187911e+02	(-5.738336e-04 1.601603e-05 -3.008306e-01)	3.130000e+02
7.6           	-2.183787e+02	(-9.749684e-04 1.164597e-05 -3.052848e-01)	3.130000e+02
8             	-2.201660e+02	(-1.591783e-03 -5.989924e-05 -3.162846e-01)	3.130000e+02
8.4           	-2.215584e+02	(-6.892988e-04 1.340003e-06 -3.130068e-01)	3.130000e+02
8.8           	-2.222912e+02	(-1.316622e-03 -6.767483e-05 -3.248771e-01)	3.130000e+02
9.2           	-2.245886e+02	(-1.073380e-03 2.594213e-05 -3.248392e-01)	3.130000e+02
9.6           	-2.266482e+02	(-1.512360e-03 -8.929968e-05 -3.237395e-01)	3.130000e+02
10            	-2.272722e+02	(-6.336859e-04 1.122018e-05 -3.162979e-01)	3.130000e+02
10.4          	-2.285990e+02	(-2.201264e-04 -4.127717e-06 -3.159559e-01)	3.130000e+02
10.8          	-2.316062e+02	(3.472264e-04 -1.236485e-05 -3.272575e-01)	3.130000e+02
11.2          	-2.316522e+02	(3.824870e-04 -1.722861e-05 -2.930646e-01)	3.130000e+02
11.6          	-2.308762e+02	(-6.111686e-04 5.592368e-05 -3.198339e-01)	3.130000e+02
12            	-2.336579e+02	(-1.455666e-04 6.316692e-06 -3.107371e-01)	3.130000e+02
12.4          	-2.355935e+02	(-6.612816e-05 -1.875988e-05 -3.048032e-01)	3.130000e+02
12.8          	-2.347048e+02	(-6.523657e-04 3.757167e-05 -3.000465e-01)	3.130000e+02
13.2          	-2.326534e+02	(-2.125286e-04 -2.647029e-05 -3.057699e-01)	3.130000e+02
13.6          	-2.316281e+02	(-6.573775e-04 -3.276294e-05 -3.009725e-01)	3.130000e+02
14            	-2.310721e+02	(-6.207515e-04 -2.813644e-05 -3.080607e-01)	3.130000e+02
14.4          	-2.315278e+02	(1.173872e-04 -7.160462e-05 -3.158340e-01)	3.130000e+02
14.8          	-2.344017e+02	(5.271099e-04 -2.901891e-05 -3.171621e-01)	3.130000e+02
15.2          	-2.375969e+02	(5.284776e-04 1.717544e-05 -3.205593e-01)	3.130000e+02
15.6          	-2.383913e+02	(2.783127e-04 1.445306e-06 -3.074306e-01)	3.130000e+02
16            	-2.372910e+02	(-2.454625e-04 4.224962e-05 -3.237228e-01)	3.130000e+02
16.4          	-2.365279e+02	(-7.357544e-04 2.849365e-05 -2.849639e-01)	3.130000e+02
16.8          	-2.373689e+02	(-1.077349e-03 2.292494e-05 -3.156359e-01)	3.130000e+02
17.2          	-2.379847e+02	(-1.305173e-03 4.912969e-06 -3.135404e-01)	3.130000e+02
17.6          	-2.371532e+02	(-7.215928e-04 9.568217e-06 -3.105564e-01)	3.130000e+02
18            	-2.350528e+02	(-6.195871e-04 -1.803115e-05 -3.147386e-01)	3.130000e+02
18.4          	-2.335760e+02	(-7.973842e-04 -3.954773e-05 -3.169263e-01)	3.130000e+02
18.8          	-2.317046e+02	(-7.297098e-04 1.262921e-06 -3.142549e-01)	3.130000e+02
19.2          	-2.305746e+02	(-6.387713e-04 6.649433e-06 -3.081539e-01)	3.130000e+02
19.6          	-2.307581e+02	(-3.257816e-04 -2.346541e-05 -3.084387e-01)	3.130000e+02
20            	-2.290745e+02	(-7.307767e-04 -3.256509e-05 -3.100900e-01)	3.130000e+02
20.4          	-2.269270e+02	(-1.245127e-03 -1.026037e-06 -3.021239e-01)	3.130000e+02
20.8          	-2.271706e+02	(-2.812441e-03 -3.933312e-08 -3.088977e-01)	3.130000e+02
21.2          	-2.296996e+02	(-2.408661e-03 -1.231384e-04 -3.144536e-01)	3.130000e+02
21.6          	-2.285958e+02	(-2.445643e-03 1.299657e-05 -3.091548e-01)	3.130000e+02
22            	-2.289891e+02	(-2.158535e-03 -1.991439e-05 -3.121818e-01)	3.130000e+02
22.4          	-2.288916e+02	(-1.993347e-03 -1.192192e-05 -3.037497e-01)	3.130000e+02
