# Region type : patch leftWall
# Faces       : 16
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
0.4           	-4.294541e+02	(-3.448423e-05 -4.191318e-03 1.432114e-01)	3.730000e+02
0.8           	-3.762168e+02	(-3.283081e-04 -5.651358e-04 2.852157e-01)	3.730000e+02
1.2           	-3.710602e+02	(1.407283e-04 4.832419e-04 3.311554e-01)	3.730000e+02
1.6           	-3.323303e+02	(4.068515e-04 1.165958e-03 3.158526e-01)	3.730000e+02
2             	-3.054838e+02	(3.813425e-04 -8.252853e-04 2.768605e-01)	3.730000e+02
2.4           	-2.901698e+02	(-7.245436e-05 1.178305e-03 2.317631e-01)	3.730000e+02
2.8           	-2.799734e+02	(-1.607104e-04 4.593474e-04 2.908719e-01)	3.730000e+02
3.2           	-2.730661e+02	(-1.177474e-04 -1.337286e-03 2.825555e-01)	3.730000e+02
3.6           	-2.711838e+02	(-4.664317e-05 1.839699e-03 2.932701e-01)	3.730000e+02
4             	-2.671420e+02	(-6.399831e-04 -1.364742e-03 2.628142e-01)	3.730000e+02
4.4           	-2.687583e+02	(-1.331563e-03 6.382911e-04 2.730183e-01)	3.730000e+02
4.8           	-2.707569e+02	(-1.381162e-03 1.436073e-03 2.659273e-01)	3.730000e+02
5.2           	-2.671498e+02	(-1.107440e-03 -6.329139e-04 2.691555e-01)	3.730000e+02
5.6           	-2.632063e+02	(-1.038006e-03 -9.780282e-04 2.694883e-01)	3.730000e+02
6             	-2.615829e+02	(-5.169905e-04 7.291258e-04 2.648952e-01)	3.730000e+02
6.4           	-2.608880e+02	(4.234397e-05 -1.548591e-03 2.654153e-01)	3.730000e+02
6.8           	-2.615168e+02	(3.180943e-04 2.412565e-04 2.712073e-01)	3.730000e+02
7.2           	-2.622911e+02	(1.530642e-04 -1.133017e-03 2.810245e-01)	3.730000e+02
7.6           	-2.627061e+02	(4.761142e-05 3.700367e-04 2.750231e-01)	3.730000e+02
8             	-2.603239e+02	(1.961051e-05 -7.206385e-04 2.739415e-01)	3.730000e+02
8.4           	-2.570848e+02	(-2.290293e-04 1.643219e-03 2.729640e-01)	3.730000e+02
8.8           	-2.557089e+02	(-4.490652e-04 -3.343935e-04 2.600355e-01)	3.730000e+02
9.2           	-2.579698e+02	(-8.350627e-04 -1.444439e-03 2.634142e-01)	3.730000e+02
9.6           	-2.550770e+02	(-9.257627e-04 1.557395e-03 2.472677e-01)	3.730000e+02
10            	-2.560126e+02	(-1.279825e-03 5.290152e-04 2.757475e-01)	3.730000e+02
10.4          	-2.559584e+02	(-1.381333e-03 1.603514e-03 2.581428e-01)	3.730000e+02
10.8          	-2.553446e+02	(-1.562360e-03 -5.067443e-04 2.632746e-01)	3.730000e+02
11.2          	-2.570466e+02	(-2.116544e-03 -1.480371e-04 2.643445e-01)	3.730000e+02
11.6          	-2.580113e+02	(-1.041048e-03 1.498617e-03 2.543753e-01)	3.730000e+02
12            	-2.545650e+02	(-1.184495e-03 -2.108844e-03 2.232718e-01)	3.730000e+02
12.4          	-2.544262e+02	(-6.795490e-04 1.774375e-03 2.467141e-01)	3.730000e+02
12.8          	-2.548217e+02	(-5.730887e-04 1.043846e-03 2.718058e-01)	3.730000e+02
13.2          	-2.566479e+02	(-3.940758e-04 -1.993557e-03 3.113843e-01)	3.730000e+02
13.6          	-2.541267e+02	(-2.392709e-05 -1.372419e-03 2.519075e-01)	3.730000e+02
14            	-2.537968e+02	(-2.364989e-04 -1.068459e-03 2.830025e-01)	3.730000e+02
14.4          	-2.542286e+02	(-4.166416e-04 5.360561e-04 2.736309e-01)	3.730000e+02
14.8          	-2.566565e+02	(-9.894505e-04 -1.450345e-04 2.808029e-01)	3.730000e+02
15.2          	-2.565705e+02	(-6.355161e-04 -6.705546e-04 2.499495e-01)	3.730000e+02
15.6          	-2.564696e+02	(-8.043376e-04 -2.856728e-04 2.856132e-01)	3.730000e+02
16            	-2.576913e+02	(-5.583449e-04 9.705471e-04 2.791684e-01)	3.730000e+02
16.4          	-2.588958e+02	(-9.758037e-04 -8.582957e-04 2.883314e-01)	3.730000e+02
16.8          	-2.569140e+02	(-2.238694e-03 9.736466e-04 2.796733e-01)	3.730000e+02
17.2          	-2.588480e+02	(-1.841319e-03 8.313684e-04 2.703869e-01)	3.730000e+02
17.6          	-2.624244e+02	(-9.493819e-04 5.400632e-04 2.775070e-01)	3.730000e+02
18            	-2.663101e+02	(-2.154362e-03 -6.040642e-04 2.788637e-01)	3.730000e+02
18.4          	-2.636004e+02	(-4.969009e-04 8.433674e-04 2.722478e-01)	3.730000e+02
18.8          	-2.606993e+02	(-1.554950e-03 -1.213919e-04 2.727705e-01)	3.730000e+02
19.2          	-2.572293e+02	(-3.138104e-04 -3.596944e-05 2.646131e-01)	3.730000e+02
19.6          	-2.560135e+02	(4.497556e-04 1.370497e-03 2.750646e-01)	3.730000e+02
20            	-2.533736e+02	(1.204463e-03 1.441131e-03 2.784094e-01)	3.730000e+02
20.4          	-2.532701e+02	(6.643033e-04 -6.247354e-04 2.755194e-01)	3.730000e+02
20.8          	-2.540016e+02	(1.188335e-03 -4.811206e-04 2.594159e-01)	3.730000e+02
21.2          	-2.561956e+02	(9.728078e-04 -6.283937e-04 2.724537e-01)	3.730000e+02
21.6          	-2.544687e+02	(6.780512e-04 2.611057e-03 2.977352e-01)	3.730000e+02
22            	-2.557139e+02	(3.994353e-04 6.793477e-04 2.515747e-01)	3.730000e+02
22.4          	-2.572286e+02	(1.646923e-03 -4.342632e-04 2.614632e-01)	3.730000e+02
22.8          	-2.562605e+02	(4.172400e-04 -8.110774e-04 2.554957e-01)	3.730000e+02
23.2          	-2.558924e+02	(1.498309e-04 8.201793e-04 2.559196e-01)	3.730000e+02
23.6          	-2.561056e+02	(1.470921e-04 -7.490737e-04 2.588895e-01)	3.730000e+02
