# Region type : patch rightWall
# Faces       : 16
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
0             	-6.352782e+03	(0.000000e+00 0.000000e+00 0.000000e+00)	3.130000e+02
96.4          	-6.352782e+03	(2.530031e-03 2.103446e-05 3.103028e-01)	3.130000e+02
96.8          	-6.352782e+03	(-1.401811e-03 1.470107e-05 3.219931e-01)	3.130000e+02
97.2          	-6.352782e+03	(-2.432821e-03 -9.528764e-05 3.174918e-01)	3.130000e+02
97.6          	-6.352782e+03	(-2.259782e-03 2.708828e-06 3.064009e-01)	3.130000e+02
98            	-6.352782e+03	(-8.287357e-04 1.001442e-06 3.089896e-01)	3.130000e+02
98.4          	-6.352782e+03	(-2.563054e-03 1.744803e-05 2.991651e-01)	3.130000e+02
98.8          	-6.352782e+03	(-3.356765e-03 -3.355056e-05 3.065667e-01)	3.130000e+02
99.2          	-6.352782e+03	(-4.963070e-04 -4.329106e-06 2.995855e-01)	3.130000e+02
99.6          	-6.352782e+03	(1.129421e-03 1.142924e-05 3.149326e-01)	3.130000e+02
100           	-6.352782e+03	(2.582895e-03 -1.168097e-05 3.094845e-01)	3.130000e+02
