# Wall shear stress
# Time        	patch         	min           	max           
0             	leftWall	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0             	rightWall	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
96.4          	leftWall	(-1.258351e-02 -1.800051e-03 1.238240e-01)	(2.247777e-02 2.027377e-02 3.648289e-01)
96.4          	rightWall	(-2.451708e-01 -2.486273e-03 1.219810e-01)	(2.468574e-01 1.576915e-03 4.809802e-01)
96.8          	leftWall	(-2.294414e-02 -1.601991e-03 1.200174e-01)	(2.325750e-02 2.057422e-02 3.795699e-01)
96.8          	rightWall	(-9.706206e-02 -2.019611e-03 1.046820e-01)	(9.646584e-02 1.314222e-03 5.373630e-01)
97.2          	leftWall	(-7.608527e-02 -3.696684e-03 1.838805e-02)	(7.515769e-02 5.088928e-03 5.245959e-01)
97.2          	rightWall	(-2.703061e-01 -4.832778e-03 7.667477e-02)	(2.576024e-01 4.470569e-03 5.643036e-01)
97.6          	leftWall	(-9.680802e-02 -2.885862e-03 -1.198392e-02)	(1.058938e-01 3.789136e-03 5.178838e-01)
97.6          	rightWall	(-1.239396e-01 -2.776432e-03 1.297306e-01)	(1.225011e-01 1.986194e-03 4.503204e-01)
98            	leftWall	(-3.747687e-02 -1.753967e-03 1.097680e-01)	(3.505700e-02 3.354779e-02 3.474134e-01)
98            	rightWall	(-8.736536e-02 -1.977236e-03 9.923009e-02)	(7.356874e-02 1.853769e-03 4.422803e-01)
98.4          	leftWall	(-1.074356e-01 -1.949088e-03 7.567454e-02)	(1.102311e-01 3.948766e-02 3.760602e-01)
98.4          	rightWall	(-1.013393e-01 -9.784940e-04 8.973624e-02)	(7.643675e-02 8.915099e-04 4.387792e-01)
98.8          	leftWall	(-2.455928e-01 -2.560317e-03 1.316024e-01)	(2.418540e-01 6.951301e-03 4.616033e-01)
98.8          	rightWall	(-1.187390e-01 -1.815804e-03 1.556925e-01)	(9.390901e-02 1.474312e-03 4.794476e-01)
99.2          	leftWall	(-3.165280e-01 -4.292933e-03 -5.365216e-02)	(3.085107e-01 6.158460e-02 4.059103e-01)
99.2          	rightWall	(-3.279276e-01 -1.358501e-03 5.240360e-03)	(3.178618e-01 1.286326e-03 4.750355e-01)
99.6          	leftWall	(-1.189430e-01 -1.129087e-03 6.001587e-02)	(1.167820e-01 3.330839e-02 3.751199e-01)
99.6          	rightWall	(-1.663178e-01 -9.518305e-04 8.503823e-02)	(1.635645e-01 7.804006e-04 4.915002e-01)
100           	leftWall	(-5.415667e-02 -1.550565e-03 4.838828e-02)	(4.717771e-02 4.057363e-02 3.716833e-01)
100           	rightWall	(-1.138063e-01 -9.073032e-04 8.164967e-02)	(1.241019e-01 7.510526e-04 4.878935e-01)
