# y+ ()       
# Time        	patch         	min           	max           	average       
0.1           	bottomWall	8.178967e-01	1.728301e+00	1.442807e+00
0.1           	topWall	7.735309e-01	1.747992e+00	1.443000e+00
0.2           	bottomWall	5.224434e-01	1.701850e+00	1.229249e+00
0.2           	topWall	8.394203e-01	1.894782e+00	1.229479e+00
0.3           	bottomWall	8.198896e-01	1.585615e+00	1.120179e+00
0.3           	topWall	7.993893e-01	1.392294e+00	1.120126e+00
0.4           	bottomWall	7.408573e-01	1.688722e+00	1.048571e+00
0.4           	topWall	7.359389e-01	1.814746e+00	1.049096e+00
0.5           	bottomWall	6.481727e-01	1.713451e+00	9.958018e-01
0.5           	topWall	7.529267e-01	1.787461e+00	9.959417e-01
0.6           	bottomWall	7.546321e-01	1.581183e+00	9.546535e-01
0.6           	topWall	4.703987e-01	1.644569e+00	9.547408e-01
0.7           	bottomWall	5.925557e-01	1.571348e+00	9.211568e-01
0.7           	topWall	7.361743e-01	1.604664e+00	9.214337e-01
0.8           	bottomWall	7.136232e-01	1.635015e+00	8.935527e-01
0.8           	topWall	7.246144e-01	1.482320e+00	8.937532e-01
0.9           	bottomWall	6.983010e-01	1.729176e+00	8.704695e-01
0.9           	topWall	6.915116e-01	1.953946e+00	8.703501e-01
1             	bottomWall	6.864091e-01	1.729202e+00	8.505364e-01
1             	topWall	6.881089e-01	1.834685e+00	8.503931e-01
1.1           	bottomWall	6.771664e-01	1.898296e+00	8.328860e-01
1.1           	topWall	5.865287e-01	1.706234e+00	8.327586e-01
1.2           	bottomWall	6.732191e-01	1.782442e+00	8.174206e-01
1.2           	topWall	6.765082e-01	1.870660e+00	8.172431e-01
1.3           	bottomWall	6.631249e-01	1.680980e+00	8.031435e-01
1.3           	topWall	6.638293e-01	1.850335e+00	8.035500e-01
1.4           	bottomWall	5.135825e-01	1.597587e+00	7.908678e-01
1.4           	topWall	6.562053e-01	1.667266e+00	7.910371e-01
1.5           	bottomWall	6.239443e-01	1.616702e+00	7.795646e-01
1.5           	topWall	6.493249e-01	1.739877e+00	7.800510e-01
1.6           	bottomWall	6.406522e-01	1.512843e+00	7.694281e-01
1.6           	topWall	6.442264e-01	1.568541e+00	7.696490e-01
1.7           	bottomWall	6.396892e-01	1.699936e+00	7.601644e-01
