# y+ ()       
# Time        	patch         	min           	max           	average       
0.1           	bottomWall	8.598920e-01	1.534055e+00	1.443435e+00
0.1           	topWall	7.739318e-01	1.729216e+00	1.443346e+00
0.2           	bottomWall	4.549085e-01	1.763569e+00	1.229110e+00
0.2           	topWall	7.739372e-01	1.531724e+00	1.229050e+00
0.3           	bottomWall	8.426746e-01	1.391219e+00	1.119942e+00
0.3           	topWall	8.308847e-01	1.429253e+00	1.119673e+00
0.4           	bottomWall	8.000952e-01	1.453228e+00	1.048258e+00
0.4           	topWall	7.767235e-01	1.435010e+00	1.048309e+00
0.5           	bottomWall	7.171660e-01	1.411261e+00	9.953252e-01
0.5           	topWall	7.317841e-01	1.694121e+00	9.955100e-01
0.6           	bottomWall	7.650887e-01	1.556782e+00	9.541799e-01
0.6           	topWall	3.190282e-01	1.589963e+00	9.540644e-01
0.7           	bottomWall	7.001483e-01	1.612480e+00	9.208587e-01
0.7           	topWall	7.279133e-01	1.464950e+00	9.206619e-01
0.8           	bottomWall	7.173011e-01	1.466828e+00	8.929082e-01
0.8           	topWall	6.245408e-01	1.692423e+00	8.932049e-01
0.9           	bottomWall	6.971776e-01	1.519045e+00	8.698041e-01
0.9           	topWall	5.976218e-01	1.661844e+00	8.696618e-01
1             	bottomWall	6.827433e-01	1.512513e+00	8.497988e-01
1             	topWall	3.200545e-01	1.927114e+00	8.494509e-01
1.1           	bottomWall	6.776493e-01	1.512203e+00	8.320974e-01
1.1           	topWall	6.949651e-01	1.492572e+00	8.319858e-01
1.2           	bottomWall	6.689178e-01	1.633723e+00	8.166513e-01
1.2           	topWall	6.900956e-01	1.600350e+00	8.163340e-01
1.3           	bottomWall	6.745293e-01	1.479611e+00	8.025338e-01
1.3           	topWall	6.749256e-01	1.569422e+00	8.027454e-01
1.4           	bottomWall	6.654846e-01	1.512147e+00	7.902242e-01
1.4           	topWall	6.614914e-01	1.413824e+00	7.900874e-01
1.5           	bottomWall	6.597654e-01	1.528253e+00	7.791342e-01
1.5           	topWall	6.544161e-01	1.489080e+00	7.787761e-01
1.6           	bottomWall	6.553230e-01	1.614885e+00	7.688747e-01
1.6           	topWall	6.462035e-01	1.570439e+00	7.684500e-01
1.7           	bottomWall	6.481810e-01	1.682926e+00	7.593701e-01
1.7           	topWall	6.396566e-01	1.416327e+00	7.591005e-01
1.8           	bottomWall	6.444794e-01	1.535935e+00	7.508146e-01
1.8           	topWall	6.351482e-01	1.511825e+00	7.508793e-01
1.9           	bottomWall	6.412975e-01	1.479985e+00	7.429132e-01
1.9           	topWall	6.290545e-01	1.566159e+00	7.430988e-01
2             	bottomWall	6.355484e-01	1.529166e+00	7.357104e-01
2             	topWall	6.230333e-01	1.586862e+00	7.357674e-01
2.1           	bottomWall	6.286537e-01	1.453836e+00	7.290989e-01
2.1           	topWall	6.174909e-01	1.848728e+00	7.291296e-01
2.2           	bottomWall	6.219732e-01	1.628808e+00	7.227070e-01
2.2           	topWall	6.111761e-01	1.434824e+00	7.226956e-01
2.3           	bottomWall	6.135811e-01	1.836324e+00	7.168650e-01
2.3           	topWall	6.061463e-01	1.685377e+00	7.168352e-01
2.4           	bottomWall	6.051921e-01	1.576710e+00	7.115897e-01
2.4           	topWall	6.021267e-01	1.709647e+00	7.111051e-01
2.5           	bottomWall	6.014511e-01	1.475823e+00	7.068085e-01
2.5           	topWall	6.011966e-01	1.601735e+00	7.061061e-01
2.6           	bottomWall	5.967051e-01	1.455153e+00	7.020527e-01
2.6           	topWall	5.985503e-01	1.612368e+00	7.012809e-01
2.7           	bottomWall	4.289205e-01	1.617043e+00	6.974083e-01
2.7           	topWall	5.950984e-01	1.434866e+00	6.967828e-01
2.8           	bottomWall	4.015083e-01	1.638330e+00	6.934348e-01
2.8           	topWall	5.923939e-01	1.573682e+00	6.925796e-01
2.9           	bottomWall	5.824835e-01	1.816074e+00	6.896756e-01
2.9           	topWall	5.876074e-01	1.571460e+00	6.887752e-01
3             	bottomWall	5.770541e-01	1.556700e+00	6.858037e-01
3             	topWall	5.856719e-01	1.569335e+00	6.850474e-01
3.1           	bottomWall	5.745703e-01	1.456848e+00	6.824556e-01
3.1           	topWall	5.819317e-01	2.054495e+00	6.816996e-01
3.2           	bottomWall	5.709312e-01	1.601372e+00	6.795162e-01
3.2           	topWall	5.768750e-01	1.566376e+00	6.779985e-01
3.3           	bottomWall	5.681894e-01	1.489517e+00	6.761363e-01
3.3           	topWall	5.735424e-01	1.537419e+00	6.752678e-01
3.4           	bottomWall	5.667010e-01	1.620392e+00	6.731883e-01
3.4           	topWall	5.715920e-01	1.556518e+00	6.725730e-01
3.5           	bottomWall	5.646602e-01	1.574575e+00	6.706404e-01
3.5           	topWall	5.690096e-01	1.838305e+00	6.698147e-01
3.6           	bottomWall	5.635276e-01	1.541146e+00	6.684953e-01
3.6           	topWall	5.651467e-01	1.566752e+00	6.673779e-01
3.7           	bottomWall	5.611463e-01	1.552641e+00	6.660858e-01
3.7           	topWall	5.634870e-01	1.546425e+00	6.651744e-01
3.8           	bottomWall	5.574508e-01	1.713253e+00	6.641948e-01
3.8           	topWall	5.616418e-01	1.369318e+00	6.630100e-01
