# y+ ()       
# Time        	patch         	min           	max           	average       
63.2          	bottomWall	5.147905e-01	1.632863e+00	6.426912e-01
63.2          	topWall	4.993561e-01	1.568030e+00	6.441400e-01
63.3          	bottomWall	4.073042e-01	1.942989e+00	6.424093e-01
63.3          	topWall	5.014723e-01	1.662170e+00	6.439378e-01
63.4          	bottomWall	5.109699e-01	1.428716e+00	6.425202e-01
63.4          	topWall	5.015329e-01	1.384922e+00	6.435887e-01
63.5          	bottomWall	5.083559e-01	1.612211e+00	6.423603e-01
63.5          	topWall	5.053029e-01	1.368585e+00	6.436965e-01
63.6          	bottomWall	5.069805e-01	1.567015e+00	6.423016e-01
63.6          	topWall	5.062830e-01	1.678489e+00	6.436948e-01
63.7          	bottomWall	5.059374e-01	1.531996e+00	6.424360e-01
63.7          	topWall	5.026032e-01	1.624149e+00	6.435220e-01
63.8          	bottomWall	5.063150e-01	1.473724e+00	6.424855e-01
63.8          	topWall	5.009301e-01	1.454717e+00	6.432440e-01
63.9          	bottomWall	5.069529e-01	1.522655e+00	6.421761e-01
63.9          	topWall	4.964143e-01	1.651699e+00	6.433327e-01
64            	bottomWall	3.617418e-01	1.565448e+00	6.424202e-01
64            	topWall	4.946896e-01	1.710158e+00	6.430888e-01
64.1          	bottomWall	5.099488e-01	1.728492e+00	6.426716e-01
64.1          	topWall	4.923725e-01	1.595195e+00	6.428913e-01
64.2          	bottomWall	5.103396e-01	1.496903e+00	6.426681e-01
64.2          	topWall	4.940576e-01	1.472545e+00	6.430029e-01
64.3          	bottomWall	5.133491e-01	1.647656e+00	6.427536e-01
64.3          	topWall	4.972333e-01	1.599031e+00	6.428291e-01
64.4          	bottomWall	5.138544e-01	1.454216e+00	6.428067e-01
64.4          	topWall	5.026978e-01	1.549926e+00	6.429464e-01
64.5          	bottomWall	5.133849e-01	1.461423e+00	6.428155e-01
64.5          	topWall	5.104895e-01	1.450346e+00	6.429690e-01
64.6          	bottomWall	5.106066e-01	1.620550e+00	6.430213e-01
64.6          	topWall	5.201261e-01	1.587210e+00	6.428405e-01
64.7          	bottomWall	5.098971e-01	1.574490e+00	6.428777e-01
64.7          	topWall	5.233864e-01	1.458204e+00	6.428637e-01
64.8          	bottomWall	5.079286e-01	1.534559e+00	6.428428e-01
64.8          	topWall	5.224322e-01	1.433685e+00	6.426557e-01
64.9          	bottomWall	5.090843e-01	1.467026e+00	6.428506e-01
64.9          	topWall	5.217810e-01	1.609477e+00	6.429705e-01
65            	bottomWall	5.130189e-01	1.541841e+00	6.428209e-01
65            	topWall	5.203952e-01	1.491774e+00	6.430348e-01
65.1          	bottomWall	5.133413e-01	1.459712e+00	6.429559e-01
65.1          	topWall	5.175170e-01	1.583089e+00	6.429377e-01
65.2          	bottomWall	5.128394e-01	1.476099e+00	6.429928e-01
65.2          	topWall	5.147920e-01	1.851458e+00	6.428749e-01
65.3          	bottomWall	5.143781e-01	1.608618e+00	6.428377e-01
65.3          	topWall	5.135597e-01	1.471829e+00	6.428370e-01
65.4          	bottomWall	5.137281e-01	1.508684e+00	6.430854e-01
65.4          	topWall	5.117373e-01	1.609095e+00	6.425821e-01
65.5          	bottomWall	5.117350e-01	1.616176e+00	6.429955e-01
65.5          	topWall	5.087366e-01	1.660268e+00	6.424753e-01
65.6          	bottomWall	5.108972e-01	1.437975e+00	6.433125e-01
65.6          	topWall	5.065731e-01	1.635910e+00	6.424496e-01
65.7          	bottomWall	5.076103e-01	1.441256e+00	6.434241e-01
65.7          	topWall	5.069893e-01	1.670871e+00	6.422035e-01
65.8          	bottomWall	5.064450e-01	1.582360e+00	6.431626e-01
65.8          	topWall	5.099597e-01	1.542398e+00	6.423528e-01
65.9          	bottomWall	5.065616e-01	1.431161e+00	6.432456e-01
65.9          	topWall	1.905196e-01	1.888441e+00	6.422022e-01
66            	bottomWall	5.045260e-01	1.675918e+00	6.432646e-01
66            	topWall	5.121941e-01	1.597848e+00	6.423593e-01
66.1          	bottomWall	5.017474e-01	1.566232e+00	6.431335e-01
66.1          	topWall	4.709623e-01	1.579667e+00	6.423739e-01
66.2          	bottomWall	5.049195e-01	1.663288e+00	6.432200e-01
66.2          	topWall	5.141550e-01	2.050261e+00	6.424274e-01
66.3          	bottomWall	5.034253e-01	1.665161e+00	6.434048e-01
66.3          	topWall	5.173604e-01	1.599638e+00	6.421175e-01
66.4          	bottomWall	4.995612e-01	1.530610e+00	6.432724e-01
66.4          	topWall	5.179797e-01	1.532370e+00	6.423451e-01
66.5          	bottomWall	4.958732e-01	1.424318e+00	6.430813e-01
66.5          	topWall	5.182942e-01	1.550064e+00	6.425187e-01
66.6          	bottomWall	4.895569e-01	1.443590e+00	6.429538e-01
66.6          	topWall	5.191802e-01	1.532249e+00	6.423180e-01
66.7          	bottomWall	4.869747e-01	1.601240e+00	6.431598e-01
66.7          	topWall	5.202885e-01	1.604631e+00	6.421502e-01
66.8          	bottomWall	4.863447e-01	1.564091e+00	6.430006e-01
66.8          	topWall	5.187560e-01	1.538499e+00	6.422231e-01
66.9          	bottomWall	4.856794e-01	1.827949e+00	6.432508e-01
66.9          	topWall	5.200015e-01	1.523872e+00	6.422467e-01
67            	bottomWall	4.803256e-01	1.694391e+00	6.430329e-01
67            	topWall	5.165115e-01	1.500032e+00	6.421873e-01
67.1          	bottomWall	4.854005e-01	1.737157e+00	6.431768e-01
67.1          	topWall	5.178021e-01	1.532365e+00	6.425129e-01
67.2          	bottomWall	4.855401e-01	1.465537e+00	6.429938e-01
67.2          	topWall	4.702062e-01	1.847971e+00	6.424852e-01
67.3          	bottomWall	4.867799e-01	1.380393e+00	6.429679e-01
67.3          	topWall	5.165686e-01	1.482662e+00	6.424947e-01
67.4          	bottomWall	4.954657e-01	1.665758e+00	6.427625e-01
67.4          	topWall	4.505542e-01	1.851335e+00	6.425134e-01
67.5          	bottomWall	4.974033e-01	1.562116e+00	6.429184e-01
67.5          	topWall	5.168672e-01	1.551103e+00	6.424392e-01
67.6          	bottomWall	5.065458e-01	1.623739e+00	6.428130e-01
67.6          	topWall	4.449062e-01	1.881778e+00	6.425039e-01
67.7          	bottomWall	5.085468e-01	1.793395e+00	6.430075e-01
67.7          	topWall	5.144830e-01	1.517648e+00	6.423612e-01
67.8          	bottomWall	5.161761e-01	1.618824e+00	6.429604e-01
67.8          	topWall	5.132022e-01	1.517204e+00	6.423896e-01
67.9          	bottomWall	5.219556e-01	1.431425e+00	6.431270e-01
67.9          	topWall	5.123171e-01	1.486678e+00	6.424482e-01
68            	bottomWall	5.265726e-01	1.583008e+00	6.430745e-01
68            	topWall	5.100983e-01	1.702979e+00	6.425255e-01
68.1          	bottomWall	5.044958e-01	1.675932e+00	6.430080e-01
68.1          	topWall	5.090772e-01	1.493939e+00	6.426801e-01
68.2          	bottomWall	5.249697e-01	1.472804e+00	6.433192e-01
68.2          	topWall	5.082770e-01	1.578915e+00	6.425752e-01
68.3          	bottomWall	5.236870e-01	1.572194e+00	6.431558e-01
68.3          	topWall	5.081393e-01	1.616226e+00	6.429269e-01
68.4          	bottomWall	5.214936e-01	1.608486e+00	6.434302e-01
68.4          	topWall	5.097652e-01	1.588497e+00	6.427101e-01
68.5          	bottomWall	5.194425e-01	1.508192e+00	6.432990e-01
68.5          	topWall	5.106149e-01	1.462612e+00	6.425980e-01
68.6          	bottomWall	5.164304e-01	1.604198e+00	6.433072e-01
68.6          	topWall	5.103598e-01	1.494651e+00	6.429056e-01
68.7          	bottomWall	5.167392e-01	1.615186e+00	6.435098e-01
68.7          	topWall	5.115507e-01	1.634042e+00	6.430096e-01
68.8          	bottomWall	5.167869e-01	1.564219e+00	6.434590e-01
68.8          	topWall	5.138547e-01	1.547303e+00	6.431583e-01
68.9          	bottomWall	5.165864e-01	1.605631e+00	6.435484e-01
68.9          	topWall	4.054223e-01	1.695325e+00	6.430982e-01
69            	bottomWall	5.170845e-01	1.584743e+00	6.434303e-01
69            	topWall	5.144545e-01	1.564944e+00	6.430841e-01
69.1          	bottomWall	5.147558e-01	1.425772e+00	6.435869e-01
69.1          	topWall	5.141364e-01	1.504775e+00	6.433650e-01
69.2          	bottomWall	5.182246e-01	1.577969e+00	6.433009e-01
69.2          	topWall	5.178751e-01	1.506149e+00	6.433170e-01
69.3          	bottomWall	5.207871e-01	1.543352e+00	6.433309e-01
69.3          	topWall	5.167672e-01	1.504300e+00	6.433872e-01
69.4          	bottomWall	5.199886e-01	1.639452e+00	6.432516e-01
69.4          	topWall	5.181067e-01	1.675258e+00	6.432745e-01
69.5          	bottomWall	5.175659e-01	1.637243e+00	6.431538e-01
69.5          	topWall	5.188521e-01	1.573521e+00	6.433478e-01
69.6          	bottomWall	5.053125e-01	1.637427e+00	6.432400e-01
69.6          	topWall	5.183711e-01	1.561092e+00	6.431024e-01
69.7          	bottomWall	5.164786e-01	1.748572e+00	6.433618e-01
69.7          	topWall	5.194205e-01	1.533179e+00	6.431147e-01
69.8          	bottomWall	5.152747e-01	1.554441e+00	6.430204e-01
69.8          	topWall	3.582393e-01	1.740600e+00	6.433640e-01
69.9          	bottomWall	5.145836e-01	1.564171e+00	6.428953e-01
69.9          	topWall	5.206042e-01	1.537049e+00	6.433736e-01
70            	bottomWall	5.136787e-01	1.548396e+00	6.429435e-01
70            	topWall	5.204588e-01	1.642764e+00	6.432951e-01
70.1          	bottomWall	5.127499e-01	1.402374e+00	6.427185e-01
70.1          	topWall	5.203007e-01	1.566214e+00	6.433638e-01
70.2          	bottomWall	5.120610e-01	1.475945e+00	6.429340e-01
70.2          	topWall	5.210873e-01	1.554981e+00	6.434657e-01
70.3          	bottomWall	5.112040e-01	1.664131e+00	6.428150e-01
70.3          	topWall	5.202031e-01	1.670115e+00	6.434049e-01
70.4          	bottomWall	5.103018e-01	1.699351e+00	6.427317e-01
70.4          	topWall	5.207287e-01	1.406854e+00	6.432412e-01
70.5          	bottomWall	5.095595e-01	1.488087e+00	6.429993e-01
70.5          	topWall	5.203145e-01	1.630953e+00	6.432645e-01
70.6          	bottomWall	5.095810e-01	1.519397e+00	6.426357e-01
70.6          	topWall	5.212254e-01	1.538795e+00	6.434314e-01
70.7          	bottomWall	5.105087e-01	1.632467e+00	6.428446e-01
70.7          	topWall	5.188121e-01	1.688113e+00	6.433283e-01
70.8          	bottomWall	5.122867e-01	1.477853e+00	6.428029e-01
70.8          	topWall	5.174047e-01	1.587438e+00	6.434322e-01
70.9          	bottomWall	5.152809e-01	1.445870e+00	6.428449e-01
70.9          	topWall	5.210641e-01	1.529507e+00	6.434339e-01
71            	bottomWall	5.157358e-01	1.609515e+00	6.431595e-01
71            	topWall	5.251883e-01	1.529254e+00	6.432566e-01
71.1          	bottomWall	5.201304e-01	1.494500e+00	6.426334e-01
71.1          	topWall	5.279324e-01	1.576984e+00	6.436269e-01
71.2          	bottomWall	5.189272e-01	1.675169e+00	6.427972e-01
71.2          	topWall	5.308553e-01	1.509883e+00	6.435936e-01
71.3          	bottomWall	5.173657e-01	1.611214e+00	6.427715e-01
71.3          	topWall	5.289815e-01	1.468213e+00	6.436660e-01
71.4          	bottomWall	5.153846e-01	1.611531e+00	6.425639e-01
71.4          	topWall	5.265818e-01	1.642559e+00	6.437620e-01
71.5          	bottomWall	5.143974e-01	1.480447e+00	6.425384e-01
71.5          	topWall	5.248159e-01	1.596600e+00	6.439820e-01
71.6          	bottomWall	5.135433e-01	1.456832e+00	6.422461e-01
71.6          	topWall	5.240201e-01	1.442838e+00	6.442473e-01
71.7          	bottomWall	5.127112e-01	1.571305e+00	6.423057e-01
71.7          	topWall	5.225585e-01	1.514776e+00	6.439586e-01
71.8          	bottomWall	5.111113e-01	1.424983e+00	6.421144e-01
71.8          	topWall	5.211265e-01	1.451099e+00	6.443682e-01
71.9          	bottomWall	5.106652e-01	1.670261e+00	6.421935e-01
71.9          	topWall	5.201551e-01	1.715311e+00	6.443029e-01
72            	bottomWall	5.096486e-01	1.564475e+00	6.423254e-01
72            	topWall	5.174517e-01	1.539903e+00	6.443870e-01
