# Region type : patch rightWall
# Faces       : 256
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
100.4         	-2.558239e+02	(-9.048144e-04 -1.156921e-05 -2.920509e-01)	3.130000e+02
100.8         	-2.572990e+02	(-6.157412e-04 6.883253e-06 -3.005312e-01)	3.130000e+02
101.2         	-2.608110e+02	(-4.011184e-04 2.829073e-06 -3.058853e-01)	3.130000e+02
101.6         	-2.630380e+02	(-2.864132e-04 1.666689e-06 -3.080337e-01)	3.130000e+02
102           	-2.640482e+02	(-2.360509e-04 8.315169e-07 -3.086374e-01)	3.130000e+02
102.4         	-2.643581e+02	(-2.012153e-04 2.183070e-07 -3.083566e-01)	3.130000e+02
102.8         	-2.643221e+02	(-1.742613e-04 3.512725e-07 -3.078885e-01)	3.130000e+02
103.2         	-2.642744e+02	(-1.552150e-04 1.867868e-07 -3.078874e-01)	3.130000e+02
103.6         	-2.644141e+02	(-1.407534e-04 7.639813e-07 -3.080576e-01)	3.130000e+02
104           	-2.645703e+02	(-1.295694e-04 7.130330e-07 -3.080763e-01)	3.130000e+02
104.4         	-2.646966e+02	(-1.206400e-04 9.805518e-08 -3.080166e-01)	3.130000e+02
104.8         	-2.648172e+02	(-1.130873e-04 7.614503e-10 -3.079345e-01)	3.130000e+02
105.2         	-2.649349e+02	(-1.061324e-04 1.121831e-06 -3.078932e-01)	3.130000e+02
105.6         	-2.650446e+02	(-9.925304e-05 -2.763347e-07 -3.077102e-01)	3.130000e+02
106           	-2.651778e+02	(-9.253450e-05 -2.164966e-07 -3.075980e-01)	3.130000e+02
106.4         	-2.653180e+02	(-8.618262e-05 -2.299386e-07 -3.075120e-01)	3.130000e+02
106.8         	-2.654657e+02	(-8.014087e-05 -2.487813e-07 -3.074242e-01)	3.130000e+02
107.2         	-2.656236e+02	(-7.452558e-05 -3.282798e-07 -3.073186e-01)	3.130000e+02
107.6         	-2.657923e+02	(-6.937887e-05 1.155378e-06 -3.073219e-01)	3.130000e+02
108           	-2.659578e+02	(-6.451446e-05 -2.607344e-07 -3.071930e-01)	3.130000e+02
108.4         	-2.661330e+02	(-6.001291e-05 9.809953e-07 -3.071874e-01)	3.130000e+02
108.8         	-2.663091e+02	(-5.587175e-05 1.189567e-06 -3.071727e-01)	3.130000e+02
109.2         	-2.664594e+02	(-5.194207e-05 -3.603451e-07 -3.070304e-01)	3.130000e+02
109.6         	-2.666104e+02	(-4.836927e-05 -3.088086e-07 -3.070282e-01)	3.130000e+02
110           	-2.667633e+02	(-4.505757e-05 -2.077170e-07 -3.070079e-01)	3.130000e+02
110.4         	-2.669168e+02	(-4.199724e-05 -1.451389e-07 -3.069844e-01)	3.130000e+02
110.8         	-2.670673e+02	(-3.921827e-05 1.026504e-06 -3.070310e-01)	3.130000e+02
111.2         	-2.671969e+02	(-3.663003e-05 -1.992560e-07 -3.069519e-01)	3.130000e+02
111.6         	-2.673342e+02	(-3.428481e-05 1.057368e-06 -3.069856e-01)	3.130000e+02
112           	-2.674584e+02	(-3.204647e-05 -2.184184e-07 -3.068383e-01)	3.130000e+02
112.4         	-2.675922e+02	(-3.003615e-05 1.003326e-06 -3.069073e-01)	3.130000e+02
112.8         	-2.677142e+02	(-2.817200e-05 -1.916777e-07 -3.068328e-01)	3.130000e+02
113.2         	-2.678405e+02	(-2.649749e-05 1.006926e-06 -3.068369e-01)	3.130000e+02
113.6         	-2.679622e+02	(-2.495427e-05 1.042448e-06 -3.068580e-01)	3.130000e+02
114           	-2.680834e+02	(-2.350132e-05 -2.820289e-09 -3.067931e-01)	3.130000e+02
114.4         	-2.682039e+02	(-2.213915e-05 -1.437621e-07 -3.067439e-01)	3.130000e+02
114.8         	-2.683271e+02	(-2.092196e-05 1.060359e-06 -3.067771e-01)	3.130000e+02
115.2         	-2.684360e+02	(-1.978588e-05 1.001457e-06 -3.067561e-01)	3.130000e+02
115.6         	-2.685539e+02	(-1.874382e-05 1.056499e-06 -3.067493e-01)	3.130000e+02
