# Region type : patch leftWall
# Faces       : 1296
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
0.4           	-4.972078e+02	(2.334008e-04 -3.513071e-03 3.280028e-01)	3.730000e+02
0.8           	-3.918225e+02	(2.751984e-04 -3.513594e-03 2.893994e-01)	3.730000e+02
1.2           	-3.539927e+02	(-1.731004e-04 -3.528271e-03 2.802846e-01)	3.730000e+02
1.6           	-3.383747e+02	(1.622557e-05 -3.521936e-03 2.766121e-01)	3.730000e+02
2             	-3.337526e+02	(-2.436849e-04 -3.535680e-03 2.764133e-01)	3.730000e+02
2.4           	-3.329429e+02	(5.303572e-05 -3.536797e-03 2.761220e-01)	3.730000e+02
2.8           	-3.328452e+02	(1.445484e-05 -3.534541e-03 2.755132e-01)	3.730000e+02
3.2           	-3.328858e+02	(1.139193e-04 -3.542167e-03 2.757384e-01)	3.730000e+02
3.6           	-3.329045e+02	(7.007972e-05 -3.540506e-03 2.759167e-01)	3.730000e+02
4             	-3.329176e+02	(8.074298e-05 -3.547406e-03 2.756836e-01)	3.730000e+02
4.4           	-3.328669e+02	(-6.273517e-05 -3.536906e-03 2.755229e-01)	3.730000e+02
4.8           	-3.329138e+02	(2.900720e-05 -3.525303e-03 2.759307e-01)	3.730000e+02
5.2           	-3.330107e+02	(-7.730487e-05 -3.528395e-03 2.762834e-01)	3.730000e+02
5.6           	-3.329303e+02	(6.468324e-05 -3.532292e-03 2.756119e-01)	3.730000e+02
6             	-3.328931e+02	(6.532335e-05 -3.528293e-03 2.758305e-01)	3.730000e+02
6.4           	-3.329447e+02	(-6.859406e-05 -3.537570e-03 2.758563e-01)	3.730000e+02
6.8           	-3.329283e+02	(4.410147e-06 -3.534716e-03 2.760551e-01)	3.730000e+02
7.2           	-3.329195e+02	(-8.892093e-05 -3.537933e-03 2.760763e-01)	3.730000e+02
7.6           	-3.328907e+02	(-5.561486e-05 -3.528790e-03 2.758762e-01)	3.730000e+02
8             	-3.329199e+02	(-8.038014e-05 -3.534715e-03 2.760201e-01)	3.730000e+02
8.4           	-3.329178e+02	(1.038332e-05 -3.537126e-03 2.762298e-01)	3.730000e+02
8.8           	-3.328939e+02	(-1.121231e-04 -3.523841e-03 2.758014e-01)	3.730000e+02
9.2           	-3.328639e+02	(-3.871889e-05 -3.525533e-03 2.757651e-01)	3.730000e+02
9.6           	-3.329082e+02	(1.088123e-04 -3.536954e-03 2.759138e-01)	3.730000e+02
10            	-3.329477e+02	(-2.302419e-04 -3.532031e-03 2.761039e-01)	3.730000e+02
10.4          	-3.328911e+02	(-2.884646e-05 -3.536780e-03 2.757274e-01)	3.730000e+02
10.8          	-3.328907e+02	(1.438007e-04 -3.551036e-03 2.758180e-01)	3.730000e+02
11.2          	-3.328788e+02	(7.986489e-05 -3.530648e-03 2.757047e-01)	3.730000e+02
11.6          	-3.328741e+02	(-8.719470e-05 -3.534108e-03 2.758332e-01)	3.730000e+02
12            	-3.329412e+02	(-1.906150e-04 -3.519998e-03 2.759967e-01)	3.730000e+02
12.4          	-3.329205e+02	(-1.539303e-04 -3.532964e-03 2.759349e-01)	3.730000e+02
12.8          	-3.329053e+02	(-2.629374e-05 -3.546800e-03 2.759155e-01)	3.730000e+02
13.2          	-3.328902e+02	(1.381426e-04 -3.552641e-03 2.755876e-01)	3.730000e+02
13.6          	-3.328828e+02	(-4.889048e-05 -3.536946e-03 2.756871e-01)	3.730000e+02
14            	-3.329259e+02	(-7.232119e-05 -3.534206e-03 2.758430e-01)	3.730000e+02
14.4          	-3.329321e+02	(-2.568240e-04 -3.529846e-03 2.759999e-01)	3.730000e+02
14.8          	-3.328708e+02	(5.744100e-05 -3.530871e-03 2.757543e-01)	3.730000e+02
15.2          	-3.329880e+02	(8.134568e-05 -3.526489e-03 2.761391e-01)	3.730000e+02
15.6          	-3.328896e+02	(8.674907e-05 -3.541587e-03 2.757600e-01)	3.730000e+02
16            	-3.329399e+02	(-1.882987e-04 -3.536262e-03 2.760001e-01)	3.730000e+02
16.4          	-3.328760e+02	(-1.296145e-04 -3.544946e-03 2.757644e-01)	3.730000e+02
16.8          	-3.328950e+02	(9.818050e-05 -3.531915e-03 2.757715e-01)	3.730000e+02
17.2          	-3.329063e+02	(2.052204e-04 -3.534549e-03 2.758156e-01)	3.730000e+02
17.6          	-3.328552e+02	(-2.099275e-05 -3.545456e-03 2.755871e-01)	3.730000e+02
18            	-3.329083e+02	(-8.838590e-05 -3.543257e-03 2.759353e-01)	3.730000e+02
18.4          	-3.328646e+02	(-5.374966e-05 -3.530615e-03 2.757419e-01)	3.730000e+02
18.8          	-3.329968e+02	(-5.235607e-06 -3.530570e-03 2.762222e-01)	3.730000e+02
19.2          	-3.329487e+02	(1.926717e-05 -3.536113e-03 2.758942e-01)	3.730000e+02
19.6          	-3.329638e+02	(-3.922339e-05 -3.531231e-03 2.760270e-01)	3.730000e+02
20            	-3.328752e+02	(3.435547e-05 -3.540324e-03 2.756802e-01)	3.730000e+02
20.4          	-3.329293e+02	(-1.610962e-04 -3.535411e-03 2.757653e-01)	3.730000e+02
20.8          	-3.329701e+02	(-9.382935e-05 -3.537863e-03 2.761214e-01)	3.730000e+02
21.2          	-3.328600e+02	(1.701302e-04 -3.539698e-03 2.754439e-01)	3.730000e+02
