# Wall shear stress
# Time        	patch         	min           	max           
82.8          	leftWall	(-4.006091e-02 -1.235806e-01 1.164732e-01)	(3.598306e-02 -1.269698e-05 1.940227e+00)
82.8          	rightWall	(-6.114144e-02 -2.315681e-06 3.446782e-01)	(2.823073e-02 2.958714e-01 2.393018e+00)
83.2          	leftWall	(-1.956454e-02 -1.234422e-01 1.167594e-01)	(5.333976e-02 -1.351600e-05 1.950049e+00)
83.2          	rightWall	(-5.771403e-02 -7.966038e-06 3.456622e-01)	(7.026651e-02 2.960792e-01 2.411216e+00)
83.6          	leftWall	(-3.371924e-02 -1.266058e-01 1.167901e-01)	(2.339993e-02 -1.324275e-05 1.941985e+00)
83.6          	rightWall	(-5.436712e-02 -1.553157e-06 3.450288e-01)	(8.737996e-02 2.907886e-01 2.377078e+00)
84            	leftWall	(-1.968636e-02 -1.208061e-01 1.149000e-01)	(4.956870e-02 -1.436116e-05 1.921300e+00)
84            	rightWall	(-7.345197e-02 -2.612534e-06 3.446945e-01)	(7.758642e-02 2.940061e-01 2.410083e+00)
84.4          	leftWall	(-5.581001e-02 -1.206945e-01 1.150511e-01)	(3.037141e-02 -1.545239e-05 1.946231e+00)
84.4          	rightWall	(-2.390402e-02 -5.611762e-06 3.460191e-01)	(5.187469e-02 2.904178e-01 2.397292e+00)
84.8          	leftWall	(-3.649951e-02 -1.279729e-01 1.175724e-01)	(3.991216e-02 -1.364518e-05 1.935706e+00)
84.8          	rightWall	(-6.245176e-02 -4.872706e-06 3.455027e-01)	(2.649595e-02 2.884513e-01 2.403806e+00)
85.2          	leftWall	(-3.623967e-02 -1.195103e-01 1.150150e-01)	(7.217517e-02 -1.405655e-05 1.912628e+00)
85.2          	rightWall	(-5.822541e-02 -7.724633e-06 3.467157e-01)	(8.263710e-02 2.936741e-01 2.408450e+00)
85.6          	leftWall	(-5.290514e-02 -1.214916e-01 1.159894e-01)	(4.347203e-02 -1.309068e-05 1.910014e+00)
85.6          	rightWall	(-8.203476e-02 -4.233087e-06 3.469668e-01)	(8.629793e-02 2.902873e-01 2.414054e+00)
86            	leftWall	(-4.128743e-02 -1.213616e-01 1.152746e-01)	(3.453471e-02 -1.457941e-05 1.917845e+00)
86            	rightWall	(-2.189837e-02 -2.189936e-06 3.448299e-01)	(5.436670e-02 2.938912e-01 2.476752e+00)
86.4          	leftWall	(-3.375718e-02 -1.244746e-01 1.154917e-01)	(5.871724e-02 -1.374526e-05 1.916165e+00)
86.4          	rightWall	(-1.078305e-01 -3.753728e-06 3.426696e-01)	(5.147861e-02 2.916978e-01 2.442870e+00)
86.8          	leftWall	(-5.042540e-02 -1.230674e-01 1.151858e-01)	(4.552929e-02 -1.458918e-05 1.925277e+00)
86.8          	rightWall	(-4.169319e-02 -5.834137e-06 3.453072e-01)	(6.190536e-02 2.906906e-01 2.408675e+00)
87.2          	leftWall	(-2.026203e-02 -1.214967e-01 1.183603e-01)	(3.703591e-02 -1.187139e-05 1.934603e+00)
87.2          	rightWall	(-6.766731e-02 -3.528307e-06 3.474764e-01)	(5.267527e-02 2.941793e-01 2.403246e+00)
87.6          	leftWall	(-6.827042e-02 -1.225088e-01 1.168963e-01)	(3.483169e-02 -1.316272e-05 1.930909e+00)
87.6          	rightWall	(-3.969169e-02 -2.312993e-06 3.465412e-01)	(4.586999e-02 2.882923e-01 2.404547e+00)
88            	leftWall	(-2.801205e-02 -1.223703e-01 1.185102e-01)	(2.796183e-02 -1.447692e-05 1.904058e+00)
88            	rightWall	(-3.453371e-02 -3.761920e-06 3.454742e-01)	(5.826508e-02 2.926088e-01 2.422980e+00)
