# Region type : patch rightWall
# Faces       : 1296
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
82.8          	-3.120151e+02	(-1.835999e-04 8.240689e-03 4.711760e-01)	3.130000e+02
83.2          	-3.119735e+02	(-2.105829e-04 8.222069e-03 4.704252e-01)	3.130000e+02
83.6          	-3.119221e+02	(-1.281938e-04 8.209771e-03 4.699899e-01)	3.130000e+02
84            	-3.120065e+02	(-8.977015e-05 8.220031e-03 4.706547e-01)	3.130000e+02
84.4          	-3.119235e+02	(-7.510849e-05 8.226702e-03 4.701958e-01)	3.130000e+02
84.8          	-3.119117e+02	(-2.387697e-04 8.210172e-03 4.703373e-01)	3.130000e+02
85.2          	-3.119239e+02	(-3.249125e-05 8.224172e-03 4.704883e-01)	3.130000e+02
85.6          	-3.119490e+02	(-2.137431e-05 8.203664e-03 4.706543e-01)	3.130000e+02
86            	-3.118978e+02	(-3.564179e-05 8.216794e-03 4.703671e-01)	3.130000e+02
86.4          	-3.119471e+02	(-1.602180e-04 8.214788e-03 4.707461e-01)	3.130000e+02
86.8          	-3.119607e+02	(-3.214030e-05 8.201809e-03 4.706495e-01)	3.130000e+02
87.2          	-3.119095e+02	(-1.130346e-04 8.223310e-03 4.703988e-01)	3.130000e+02
87.6          	-3.119708e+02	(-1.149154e-04 8.208821e-03 4.701298e-01)	3.130000e+02
88            	-3.119782e+02	(2.032512e-05 8.214149e-03 4.707696e-01)	3.130000e+02
88.4          	-3.119245e+02	(-1.395776e-04 8.210171e-03 4.703507e-01)	3.130000e+02
88.8          	-3.118952e+02	(-1.972822e-04 8.215468e-03 4.703620e-01)	3.130000e+02
89.2          	-3.119725e+02	(-1.721401e-04 8.226126e-03 4.703823e-01)	3.130000e+02
89.6          	-3.119106e+02	(-3.881562e-05 8.219561e-03 4.702332e-01)	3.130000e+02
90            	-3.119019e+02	(1.418189e-04 8.226107e-03 4.703011e-01)	3.130000e+02
90.4          	-3.118802e+02	(-7.773079e-05 8.221541e-03 4.700873e-01)	3.130000e+02
90.8          	-3.119779e+02	(-7.098413e-05 8.225911e-03 4.706561e-01)	3.130000e+02
91.2          	-3.119465e+02	(-3.627903e-05 8.213906e-03 4.705394e-01)	3.130000e+02
91.6          	-3.119446e+02	(3.056483e-05 8.198696e-03 4.704584e-01)	3.130000e+02
92            	-3.119847e+02	(8.758972e-05 8.217575e-03 4.705519e-01)	3.130000e+02
92.4          	-3.119516e+02	(-2.455927e-05 8.226989e-03 4.704799e-01)	3.130000e+02
92.8          	-3.118727e+02	(-3.291616e-04 8.216457e-03 4.701704e-01)	3.130000e+02
93.2          	-3.120169e+02	(1.035315e-05 8.227355e-03 4.708148e-01)	3.130000e+02
93.6          	-3.119648e+02	(-1.882942e-04 8.226638e-03 4.703192e-01)	3.130000e+02
94            	-3.118957e+02	(2.132562e-05 8.191543e-03 4.702446e-01)	3.130000e+02
94.4          	-3.118803e+02	(-1.756976e-05 8.226515e-03 4.700881e-01)	3.130000e+02
94.8          	-3.119632e+02	(-9.691534e-05 8.213863e-03 4.705126e-01)	3.130000e+02
95.2          	-3.119472e+02	(1.044847e-04 8.217387e-03 4.706116e-01)	3.130000e+02
95.6          	-3.119841e+02	(2.522410e-05 8.221096e-03 4.709603e-01)	3.130000e+02
96            	-3.118553e+02	(-1.049736e-04 8.210797e-03 4.703744e-01)	3.130000e+02
96.4          	-3.119220e+02	(-8.409378e-05 8.218804e-03 4.701524e-01)	3.130000e+02
96.8          	-3.119475e+02	(3.374918e-05 8.195817e-03 4.700939e-01)	3.130000e+02
97.2          	-3.119367e+02	(6.996495e-05 8.222189e-03 4.702295e-01)	3.130000e+02
97.6          	-3.119508e+02	(-1.961606e-04 8.211899e-03 4.704535e-01)	3.130000e+02
98            	-3.119476e+02	(5.252067e-05 8.225176e-03 4.706010e-01)	3.130000e+02
98.4          	-3.119629e+02	(-5.810330e-05 8.219108e-03 4.707354e-01)	3.130000e+02
98.8          	-3.119269e+02	(-1.763645e-04 8.212034e-03 4.704501e-01)	3.130000e+02
99.2          	-3.119062e+02	(4.178325e-05 8.202379e-03 4.702614e-01)	3.130000e+02
99.6          	-3.119106e+02	(2.618680e-05 8.222268e-03 4.704024e-01)	3.130000e+02
100           	-3.119862e+02	(1.537287e-04 8.218311e-03 4.708377e-01)	3.130000e+02
100.4         	-3.119761e+02	(1.037425e-04 8.225531e-03 4.707592e-01)	3.130000e+02
100.8         	-3.119160e+02	(-1.529139e-05 8.198105e-03 4.701745e-01)	3.130000e+02
101.2         	-3.119768e+02	(7.268443e-05 8.225830e-03 4.703260e-01)	3.130000e+02
101.6         	-3.119506e+02	(-1.410931e-04 8.212656e-03 4.703546e-01)	3.130000e+02
102           	-3.119484e+02	(-1.020264e-04 8.222665e-03 4.704833e-01)	3.130000e+02
102.4         	-3.118829e+02	(-1.181603e-04 8.223126e-03 4.704087e-01)	3.130000e+02
102.8         	-3.119804e+02	(-1.786838e-04 8.192620e-03 4.707005e-01)	3.130000e+02
103.2         	-3.119921e+02	(-6.857540e-05 8.200271e-03 4.706365e-01)	3.130000e+02
103.6         	-3.119316e+02	(1.314532e-04 8.208187e-03 4.706682e-01)	3.130000e+02
104           	-3.119448e+02	(-9.296385e-05 8.216779e-03 4.704147e-01)	3.130000e+02
104.4         	-3.120644e+02	(-2.238551e-04 8.214952e-03 4.709030e-01)	3.130000e+02
104.8         	-3.119831e+02	(1.249574e-04 8.208845e-03 4.704734e-01)	3.130000e+02
105.2         	-3.119702e+02	(1.698923e-05 8.232043e-03 4.707667e-01)	3.130000e+02
105.6         	-3.119560e+02	(7.256447e-05 8.223832e-03 4.704458e-01)	3.130000e+02
106           	-3.119487e+02	(1.062079e-06 8.231847e-03 4.703781e-01)	3.130000e+02
106.4         	-3.119891e+02	(1.504235e-05 8.218567e-03 4.706336e-01)	3.130000e+02
106.8         	-3.118543e+02	(-1.548075e-04 8.223569e-03 4.698589e-01)	3.130000e+02
107.2         	-3.119654e+02	(1.417708e-04 8.200712e-03 4.705521e-01)	3.130000e+02
107.6         	-3.119398e+02	(1.142520e-04 8.224372e-03 4.706470e-01)	3.130000e+02
108           	-3.119948e+02	(9.971212e-05 8.220468e-03 4.705131e-01)	3.130000e+02
108.4         	-3.120627e+02	(1.727416e-04 8.229591e-03 4.713759e-01)	3.130000e+02
108.8         	-3.120210e+02	(-1.920631e-04 8.213402e-03 4.709372e-01)	3.130000e+02
109.2         	-3.119882e+02	(-3.286927e-05 8.212085e-03 4.705429e-01)	3.130000e+02
109.6         	-3.119546e+02	(-1.910326e-05 8.212831e-03 4.703762e-01)	3.130000e+02
110           	-3.119936e+02	(-1.612770e-04 8.218178e-03 4.706608e-01)	3.130000e+02
110.4         	-3.120537e+02	(-1.067118e-04 8.231376e-03 4.707151e-01)	3.130000e+02
