# Region type : patch rightWall
# Faces       : 532
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
2.4           	-2.883194e+02	(2.759506e-06 -2.135399e-04 3.597529e-01)	3.130000e+02
2.8           	-2.724036e+02	(-4.794646e-07 -1.127315e-04 3.774830e-01)	3.130000e+02
3.2           	-2.637365e+02	(4.880595e-07 5.019877e-04 3.745605e-01)	3.130000e+02
3.6           	-2.601831e+02	(3.550255e-09 8.935881e-04 3.680090e-01)	3.130000e+02
4             	-2.545034e+02	(-5.055610e-06 8.442125e-04 3.760709e-01)	3.130000e+02
4.4           	-2.473256e+02	(-1.227115e-05 8.936961e-04 3.858347e-01)	3.130000e+02
4.8           	-2.426946e+02	(-1.340592e-05 5.414255e-04 3.977791e-01)	3.130000e+02
5.2           	-2.358765e+02	(-1.025497e-05 7.215386e-04 3.995089e-01)	3.130000e+02
5.6           	-2.311028e+02	(-1.853476e-06 5.214152e-04 4.035669e-01)	3.130000e+02
6             	-2.269187e+02	(1.242936e-05 5.546413e-04 4.002756e-01)	3.130000e+02
6.4           	-2.242307e+02	(2.662219e-05 2.302363e-04 3.958753e-01)	3.130000e+02
6.8           	-2.132107e+02	(2.226881e-05 5.478205e-04 4.043322e-01)	3.130000e+02
7.2           	-2.114570e+02	(3.355615e-05 5.130946e-04 4.048313e-01)	3.130000e+02
7.6           	-2.043446e+02	(2.730184e-05 3.917051e-04 3.972947e-01)	3.130000e+02
8             	-1.971685e+02	(9.512694e-06 5.024549e-04 4.008794e-01)	3.130000e+02
8.4           	-1.937305e+02	(3.647160e-05 6.511801e-04 3.979848e-01)	3.130000e+02
8.8           	-1.871958e+02	(2.772590e-05 5.996188e-04 3.975549e-01)	3.130000e+02
9.2           	-1.845798e+02	(1.998845e-05 6.876470e-04 4.004823e-01)	3.130000e+02
9.6           	-1.787332e+02	(3.981320e-05 7.004474e-04 4.011189e-01)	3.130000e+02
10            	-1.758678e+02	(1.809712e-05 7.449424e-04 4.015986e-01)	3.130000e+02
10.4          	-1.714232e+02	(1.056697e-06 7.892853e-04 4.014481e-01)	3.130000e+02
10.8          	-1.680880e+02	(-6.534390e-06 7.990364e-04 4.019925e-01)	3.130000e+02
11.2          	-1.645602e+02	(-1.367518e-05 8.033528e-04 4.026753e-01)	3.130000e+02
11.6          	-1.603730e+02	(1.422175e-05 7.536384e-04 4.028128e-01)	3.130000e+02
12            	-1.563645e+02	(4.068519e-05 7.603533e-04 4.022652e-01)	3.130000e+02
