# Region type : patch leftWall
# Faces       : 100
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
0.4           	-5.144668e+02	(-1.669600e-08 5.143155e-04 -3.436701e-01)	3.730000e+02
0.8           	-4.663419e+02	(-4.171714e-08 2.168290e-04 -4.021928e-01)	3.730000e+02
1.2           	-4.467777e+02	(4.976759e-08 8.100927e-05 -4.189576e-01)	3.730000e+02
1.6           	-4.382575e+02	(1.687390e-07 -9.119656e-05 -4.198469e-01)	3.730000e+02
2             	-4.318752e+02	(-8.560015e-08 -2.983841e-04 -4.187841e-01)	3.730000e+02
2.4           	-4.217111e+02	(-8.435166e-07 -4.817509e-04 -4.168090e-01)	3.730000e+02
2.8           	-4.138487e+02	(-1.113571e-06 -5.257170e-04 -4.162685e-01)	3.730000e+02
3.2           	-4.074585e+02	(-7.632793e-07 -6.166380e-04 -4.157695e-01)	3.730000e+02
3.6           	-4.021069e+02	(-6.569200e-07 -6.904994e-04 -4.155596e-01)	3.730000e+02
4             	-3.971910e+02	(-5.863250e-07 -8.178407e-04 -4.154736e-01)	3.730000e+02
4.4           	-3.926072e+02	(-5.050804e-07 -9.850863e-04 -4.153526e-01)	3.730000e+02
4.8           	-3.883804e+02	(-5.200595e-07 -1.133974e-03 -4.152304e-01)	3.730000e+02
5.2           	-3.844479e+02	(-5.483724e-07 -1.282833e-03 -4.151758e-01)	3.730000e+02
5.6           	-3.806320e+02	(-5.905714e-07 -1.414058e-03 -4.151005e-01)	3.730000e+02
6             	-3.768071e+02	(-6.671903e-07 -1.616006e-03 -4.148270e-01)	3.730000e+02
6.4           	-3.728856e+02	(-7.323384e-07 -1.775129e-03 -4.144641e-01)	3.730000e+02
6.8           	-3.690573e+02	(-7.972096e-07 -1.956398e-03 -4.141124e-01)	3.730000e+02
7.2           	-3.655607e+02	(-8.299392e-07 -1.982560e-03 -4.140355e-01)	3.730000e+02
7.6           	-3.621785e+02	(-8.592433e-07 -2.009305e-03 -4.140672e-01)	3.730000e+02
8             	-3.590856e+02	(-8.451204e-07 -1.963120e-03 -4.143930e-01)	3.730000e+02
8.4           	-3.560471e+02	(-8.586868e-07 -1.974428e-03 -4.146352e-01)	3.730000e+02
8.8           	-3.531308e+02	(-8.649256e-07 -1.976610e-03 -4.148764e-01)	3.730000e+02
9.2           	-3.500930e+02	(-9.052454e-07 -2.051767e-03 -4.148787e-01)	3.730000e+02
9.6           	-3.471963e+02	(-9.075438e-07 -2.041770e-03 -4.150541e-01)	3.730000e+02
10            	-3.443440e+02	(-9.092867e-07 -2.025653e-03 -4.152730e-01)	3.730000e+02
10.4          	-3.415490e+02	(-9.101354e-07 -2.001442e-03 -4.155171e-01)	3.730000e+02
10.8          	-3.386574e+02	(-9.428140e-07 -2.046671e-03 -4.155650e-01)	3.730000e+02
11.2          	-3.358765e+02	(-9.398601e-07 -2.013036e-03 -4.157606e-01)	3.730000e+02
11.6          	-3.330186e+02	(-9.641904e-07 -2.048022e-03 -4.157950e-01)	3.730000e+02
12            	-3.301513e+02	(-9.881184e-07 -2.082173e-03 -4.157990e-01)	3.730000e+02
12.4          	-3.274162e+02	(-9.724763e-07 -2.036384e-03 -4.159807e-01)	3.730000e+02
12.8          	-3.246391e+02	(-9.919585e-07 -2.059758e-03 -4.160154e-01)	3.730000e+02
13.2          	-3.218693e+02	(-1.014508e-06 -2.082104e-03 -4.160194e-01)	3.730000e+02
13.6          	-3.192306e+02	(-1.002455e-06 -2.022722e-03 -4.161810e-01)	3.730000e+02
14            	-3.165842e+02	(-1.021380e-06 -2.037570e-03 -4.162179e-01)	3.730000e+02
14.4          	-3.139531e+02	(-1.038166e-06 -2.046439e-03 -4.162280e-01)	3.730000e+02
14.8          	-3.113416e+02	(-1.055001e-06 -2.058842e-03 -4.162285e-01)	3.730000e+02
15.2          	-3.087581e+02	(-1.069638e-06 -2.061912e-03 -4.162197e-01)	3.730000e+02
15.6          	-3.062156e+02	(-1.083015e-06 -2.070757e-03 -4.162134e-01)	3.730000e+02
16            	-3.037141e+02	(-1.094633e-06 -2.069129e-03 -4.162014e-01)	3.730000e+02
16.4          	-3.012612e+02	(-1.106004e-06 -2.074387e-03 -4.161942e-01)	3.730000e+02
16.8          	-2.988541e+02	(-1.115112e-06 -2.068247e-03 -4.161807e-01)	3.730000e+02
17.2          	-2.964993e+02	(-1.123332e-06 -2.070353e-03 -4.161721e-01)	3.730000e+02
17.6          	-2.941922e+02	(-1.133414e-06 -2.060676e-03 -4.161571e-01)	3.730000e+02
18            	-2.919396e+02	(-1.140981e-06 -2.060080e-03 -4.161487e-01)	3.730000e+02
18.4          	-2.897364e+02	(-1.146625e-06 -2.047244e-03 -4.161342e-01)	3.730000e+02
18.8          	-2.875881e+02	(-1.151391e-06 -2.044153e-03 -4.161260e-01)	3.730000e+02
19.2          	-2.854871e+02	(-1.157275e-06 -2.029381e-03 -4.161074e-01)	3.730000e+02
19.6          	-2.834407e+02	(-1.157966e-06 -2.022407e-03 -4.160935e-01)	3.730000e+02
20            	-2.814444e+02	(-1.161572e-06 -2.008045e-03 -4.160760e-01)	3.730000e+02
20.4          	-2.795005e+02	(-1.159813e-06 -1.997202e-03 -4.160625e-01)	3.730000e+02
20.8          	-2.776066e+02	(-1.163635e-06 -1.984270e-03 -4.160493e-01)	3.730000e+02
21.2          	-2.757621e+02	(-1.159805e-06 -1.971004e-03 -4.160376e-01)	3.730000e+02
21.6          	-2.738656e+02	(-1.186232e-06 -2.031382e-03 -4.158572e-01)	3.730000e+02
22            	-2.720471e+02	(-1.185931e-06 -2.020295e-03 -4.158045e-01)	3.730000e+02
22.4          	-2.702930e+02	(-1.184213e-06 -2.006542e-03 -4.157683e-01)	3.730000e+02
22.8          	-2.686033e+02	(-1.182221e-06 -1.992903e-03 -4.157425e-01)	3.730000e+02
23.2          	-2.669695e+02	(-1.178617e-06 -1.978507e-03 -4.157235e-01)	3.730000e+02
23.6          	-2.653860e+02	(-1.174581e-06 -1.963687e-03 -4.157081e-01)	3.730000e+02
24            	-2.638501e+02	(-1.169479e-06 -1.948860e-03 -4.156946e-01)	3.730000e+02
24.4          	-2.622608e+02	(-1.193550e-06 -2.009964e-03 -4.155122e-01)	3.730000e+02
24.8          	-2.607458e+02	(-1.187887e-06 -1.997445e-03 -4.154628e-01)	3.730000e+02
25.2          	-2.592906e+02	(-1.185263e-06 -1.983143e-03 -4.154283e-01)	3.730000e+02
25.6          	-2.578921e+02	(-1.177866e-06 -1.969949e-03 -4.154036e-01)	3.730000e+02
26            	-2.565420e+02	(-1.174623e-06 -1.956631e-03 -4.153861e-01)	3.730000e+02
26.4          	-2.552349e+02	(-1.166138e-06 -1.943324e-03 -4.153721e-01)	3.730000e+02
26.8          	-2.539680e+02	(-1.161065e-06 -1.930132e-03 -4.153601e-01)	3.730000e+02
27.2          	-2.527391e+02	(-1.151263e-06 -1.916978e-03 -4.153497e-01)	3.730000e+02
27.6          	-2.514492e+02	(-1.172487e-06 -1.980714e-03 -4.151672e-01)	3.730000e+02
28            	-2.502263e+02	(-1.166637e-06 -1.969858e-03 -4.151217e-01)	3.730000e+02
28.4          	-2.490543e+02	(-1.160373e-06 -1.957774e-03 -4.150890e-01)	3.730000e+02
28.8          	-2.479298e+02	(-1.153712e-06 -1.946913e-03 -4.150658e-01)	3.730000e+02
