# Region type : patch leftWall
# Faces       : 532
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
2.4           	-3.171055e+02	(-4.454158e-06 8.290426e-04 2.927942e-01)	3.730000e+02
2.8           	-3.162517e+02	(3.672459e-05 1.006753e-03 2.937977e-01)	3.730000e+02
3.2           	-3.162724e+02	(2.093268e-05 9.145444e-04 2.919588e-01)	3.730000e+02
3.6           	-3.190666e+02	(7.604681e-06 5.319688e-04 2.909635e-01)	3.730000e+02
4             	-3.240028e+02	(2.445969e-04 9.698265e-04 2.944855e-01)	3.730000e+02
4.4           	-3.316111e+02	(6.919661e-05 6.983305e-04 3.037842e-01)	3.730000e+02
4.8           	-3.391736e+02	(1.224890e-04 7.212265e-04 3.036616e-01)	3.730000e+02
5.2           	-3.456748e+02	(1.764488e-04 8.227011e-04 3.006753e-01)	3.730000e+02
5.6           	-3.552581e+02	(2.981954e-04 7.628041e-04 3.006032e-01)	3.730000e+02
6             	-3.672916e+02	(3.939216e-04 6.264321e-04 2.994629e-01)	3.730000e+02
6.4           	-3.725047e+02	(-1.265062e-05 6.719201e-04 2.955851e-01)	3.730000e+02
6.8           	-3.747573e+02	(3.167664e-04 8.427194e-04 3.012487e-01)	3.730000e+02
7.2           	-3.821324e+02	(3.777593e-04 7.022305e-04 2.994527e-01)	3.730000e+02
7.6           	-3.884430e+02	(-6.052537e-05 6.401126e-04 2.964807e-01)	3.730000e+02
8             	-3.899111e+02	(3.293585e-04 8.189331e-04 3.001131e-01)	3.730000e+02
8.4           	-3.932164e+02	(3.296059e-04 6.689434e-04 2.984574e-01)	3.730000e+02
8.8           	-3.960570e+02	(2.044762e-04 7.792406e-04 2.994078e-01)	3.730000e+02
9.2           	-3.991143e+02	(2.382052e-04 7.039561e-04 2.987781e-01)	3.730000e+02
9.6           	-4.022969e+02	(2.058456e-04 7.344384e-04 2.994110e-01)	3.730000e+02
10            	-4.060896e+02	(2.042450e-04 7.455015e-04 2.982569e-01)	3.730000e+02
10.4          	-4.098225e+02	(2.020998e-04 7.171381e-04 2.985271e-01)	3.730000e+02
10.8          	-4.133845e+02	(2.011619e-04 7.480120e-04 2.981119e-01)	3.730000e+02
11.2          	-4.174401e+02	(1.810034e-04 7.338640e-04 2.981774e-01)	3.730000e+02
11.6          	-4.208799e+02	(2.302959e-04 7.150120e-04 2.977774e-01)	3.730000e+02
12            	-4.244261e+02	(2.070867e-04 7.112600e-04 2.971613e-01)	3.730000e+02
12.4          	-4.278830e+02	(1.861667e-04 6.864860e-04 2.969454e-01)	3.730000e+02
12.8          	-4.311529e+02	(2.599814e-04 6.877500e-04 2.965598e-01)	3.730000e+02
13.2          	-4.346051e+02	(2.073796e-04 6.633289e-04 2.964522e-01)	3.730000e+02
13.6          	-4.378837e+02	(2.483384e-04 6.570914e-04 2.965095e-01)	3.730000e+02
14            	-4.411989e+02	(2.813686e-04 6.412766e-04 2.964272e-01)	3.730000e+02
14.4          	-4.443690e+02	(2.632197e-04 6.374610e-04 2.965338e-01)	3.730000e+02
14.8          	-4.475702e+02	(2.655801e-04 6.310722e-04 2.966658e-01)	3.730000e+02
15.2          	-4.506605e+02	(2.896236e-04 6.245993e-04 2.967380e-01)	3.730000e+02
